section,analysis,model,metric,estimate,ci95_low,ci95_high,n
robustness,split_half_noise,OBSERVED_TARGET,five_repeats:split_half_pcc,0.236373068680582,0.2259062756735977,0.2468185410247925,470
robustness,response_rank,CCLR_FIXED,RANK_D20_R20:rmse_gain_vs_b1,0.0013994822439277,0.0008018016865884,0.0019868759118663,94
robustness,response_rank,CCLR_FIXED,RANK_D20_R02:rmse_gain_vs_b1,0.000920266696553,0.0004748807631946,0.0013640503058874,94
robustness,response_rank,CCLR_FIXED,RANK_D20_R05:rmse_gain_vs_b1,0.0011148883778976,0.0005910505257468,0.001631086699172,94
robustness,response_rank,CCLR_FIXED,RANK_D20_R10:rmse_gain_vs_b1,0.0012180722362098,0.0007048464692307,0.0017362377110036,94
robustness,response_rank,CCLR_FIXED,RANK_D20_R30:rmse_gain_vs_b1,0.0014151207156502,0.0007731498416993,0.0020321157938767,94
robustness,response_rank,CCLR_FIXED,RANK_D20_R40:rmse_gain_vs_b1,0.0013619193767989,0.0007353909259669,0.0019900948362573,94
robustness,response_rank,CCLR_FIXED,RANK_D20_R50:rmse_gain_vs_b1,0.0013894299365834,0.0007518517266198,0.0020194984588268,94
single_cell_distribution,external_17_lines_24h,B1,energy_distance,7.217859688944073,4.952650175313504,9.734244739159273,17
single_cell_distribution,external_17_lines_24h,B1,sliced_wasserstein,3.759795013445266,3.086344219353666,4.512023811612604,17
single_cell_distribution,external_17_lines_24h,B4_FIXED_D20_A100,energy_distance,6.647262236833688,4.53774769321688,8.969071568528765,17
single_cell_distribution,external_17_lines_24h,B4_FIXED_D20_A100,sliced_wasserstein,3.596755404623123,2.9530525062784623,4.301090247636412,17
single_cell_distribution,external_17_lines_24h,CCLR_FIXED_D20_R20_A100,energy_distance,6.627799403300976,4.524854409422003,8.93586831694873,17
single_cell_distribution,external_17_lines_24h,CCLR_FIXED_D20_R20_A100,sliced_wasserstein,3.592879418639938,2.954351492131289,4.295850701790293,17
