outer_fold,model,family,control_dimension,response_rank,predictor_dimension,selected_control_genes,parameter_count,fit_runtime_seconds,source
3,RANK_D20_R30,response_rank,20,30,20,5000,1015508,0.005264791019726545,w7_fixed_outer_fit
3,RANK_D20_R40,response_rank,20,40,20,5000,1343098,0.005295332986861467,w7_fixed_outer_fit
3,RANK_D20_R50,response_rank,20,50,20,5000,1670688,0.0051364999962970614,w7_fixed_outer_fit
3,PATHWAY_D20_R20,feature_input,20,20,20,918,687918,0.003964333009207621,w7_fixed_outer_fit
3,LINEAGE_D20_R20,metadata_input,20,20,41,5000,688338,0.005240415979642421,w7_fixed_outer_fit
3,BRAF_KRAS_D20_R20,metadata_input,20,20,22,5000,687958,0.005055541987530887,w7_fixed_outer_fit
4,FIXED_FULL_D20_R20,fixed_reference,20,20,20,5000,687918,0.005257958982838318,w7_fixed_outer_fit
4,CONTROL_D05_R20,control_dimension,5,20,5,5000,687618,0.005324458004906774,w7_fixed_outer_fit
4,CONTROL_D10_R20,control_dimension,10,20,10,5000,687718,0.005013083020457998,w7_fixed_outer_fit
4,CONTROL_D30_R20,control_dimension,30,20,30,5000,688118,0.005319957999745384,w7_fixed_outer_fit
4,RANK_D20_R02,response_rank,20,2,20,5000,98256,0.004919541999697685,w7_fixed_outer_fit
4,RANK_D20_R05,response_rank,20,5,20,5000,196533,0.00493466600892134,w7_fixed_outer_fit
4,RANK_D20_R10,response_rank,20,10,20,5000,360328,0.005257500015432015,w7_fixed_outer_fit
4,RANK_D20_R30,response_rank,20,30,20,5000,1015508,0.005079416994703934,w7_fixed_outer_fit
4,RANK_D20_R40,response_rank,20,40,20,5000,1343098,0.0049001669976860285,w7_fixed_outer_fit
4,RANK_D20_R50,response_rank,20,50,20,5000,1670688,0.005250750022241846,w7_fixed_outer_fit
4,PATHWAY_D20_R20,feature_input,20,20,20,921,687918,0.004171750013483688,w7_fixed_outer_fit
4,LINEAGE_D20_R20,metadata_input,20,20,40,5000,688318,0.006083207990741357,w7_fixed_outer_fit
4,BRAF_KRAS_D20_R20,metadata_input,20,20,22,5000,687958,0.005623874982120469,w7_fixed_outer_fit
