repeat,cell_line,split_half_rmse,full_target_noise_floor_approx,split_half_pcc,split_half_spearman
0,22RV1_PROSTATE,0.7919398697976394,0.3959699348988197,0.07186442589744192,0.10194012671252506
0,42MGBA_CENTRAL_NERVOUS_SYSTEM,0.3683785824209664,0.1841892912104832,0.25406188988982087,0.231331054059978
0,769P_KIDNEY,0.4353030208973771,0.21765151044868855,0.2831154997495837,0.25234458564583817
0,786O_KIDNEY,0.30537138252710366,0.15268569126355183,0.3193430277362588,0.2665457211604459
0,8505C_THYROID,0.4865992503020214,0.2432996251510107,0.3083934052266734,0.27847843729876975
0,A2780_OVARY,0.4261896687993036,0.2130948343996518,0.3696729765271098,0.34863283126008193
0,A375_SKIN,0.47443128842782784,0.23721564421391392,0.5929656662172215,0.49527013682358334
0,ACCMESO1_PLEURA,0.3234633197148645,0.16173165985743224,0.28852385550328474,0.23691795502057952
0,AGS_STOMACH,0.46597585604480657,0.23298792802240328,0.30983436306972045,0.2862574772745612
0,BEN_LUNG,0.45432194475240983,0.22716097237620492,0.16285996596718186,0.14937438846316714
0,CAL120_BREAST,0.3774616738770384,0.1887308369385192,0.261456526824446,0.23434729475110885
0,CAL62_THYROID,0.3120492642293987,0.15602463211469936,0.5899789556949209,0.46340329023074645
0,CAOV3_OVARY,0.5177095285042771,0.25885476425213855,0.2349539862121729,0.22024786919284056
0,CJM_SKIN,0.78641356598366,0.39320678299183,0.19189607584389962,0.18188965712098054
0,COLO668_LUNG,0.7676358890957532,0.3838179445478766,0.10787315635349431,0.1166328947525678
0,COLO680N_OESOPHAGUS,0.485069628743158,0.242534814371579,0.24678003602634732,0.22015672582357296
0,COV434_OVARY,0.6240805941521306,0.3120402970760653,0.07920538650079118,0.09783482943157591
0,DMS273_LUNG,0.34904721143167533,0.17452360571583767,0.2367935508092194,0.2153550332897104
0,EFM192A_BREAST,0.7081494009473075,0.35407470047365375,0.08982242732502796,0.1102790405351076
0,G401_SOFT_TISSUE,0.516683873884064,0.258341936942032,0.18818005702654442,0.21667822751844665
0,GCIY_STOMACH,0.34826256081480317,0.17413128040740158,0.33540675632175926,0.282350345376926
0,GP2D_LARGE_INTESTINE,0.42651559266609174,0.21325779633304587,0.273745812211762,0.2570475840894348
0,HCC1143_BREAST,0.5423595936504189,0.27117979682520943,0.17336739436629459,0.18762227233836587
0,HCC1195_LUNG,0.5721545584858081,0.28607727924290405,0.2750815027089678,0.2544607930066921
0,HCC1419_BREAST,0.7424043946726013,0.37120219733630067,0.14790294075653904,0.13785250663319548
0,HEC1B_ENDOMETRIUM,0.4161864066448904,0.2080932033224452,0.3118001656518002,0.2690418916535756
0,HEP3B217_LIVER,0.9136941573326566,0.4568470786663283,0.11491175016169675,0.11892984701055587
0,HS766T_PANCREAS,0.9532919290974651,0.47664596454873254,0.2506212795092968,0.25160723686531994
0,HS852T_SKIN,1.014191762146243,0.5070958810731215,0.1322422650846311,0.13224785232223749
0,HUCCT1_BILIARY_TRACT,0.5180233611636279,0.25901168058181395,0.46949889356824276,0.4002775400187764
0,IGR1_SKIN,0.46402304824333646,0.23201152412166823,0.36372603187515273,0.33142722504435745
0,IGROV1_OVARY,0.30989555638446054,0.15494777819223027,0.4247301542416861,0.34839832023920597
0,ISTMES1_PLEURA,0.5539969323204486,0.2769984661602243,0.21654890640943195,0.22645989920588824
0,J82_URINARY_TRACT,0.3545851406932567,0.17729257034662835,0.29532522210452616,0.24074999638009606
0,JHH5_LIVER,0.6399930167093897,0.31999650835469484,0.24516632957040604,0.23021290192617685
0,KNS42_CENTRAL_NERVOUS_SYSTEM,0.5003711717030278,0.2501855858515139,0.14756020403071593,0.15276897175835555
0,KNS60_CENTRAL_NERVOUS_SYSTEM,0.5061270984303102,0.2530635492151551,0.15974753501871672,0.15636547219058583
0,KNS81_CENTRAL_NERVOUS_SYSTEM,0.6198339800696585,0.30991699003482925,0.20224033509708214,0.20664047355705162
0,KYSE270_OESOPHAGUS,0.439917746809322,0.219958873404661,0.25932303124191547,0.23255304692302203
0,LI7_LIVER,0.7947690320155113,0.39738451600775565,0.09657899253591126,0.1183699445099169
0,LK2_LUNG,0.5557401320364629,0.27787006601823144,0.12247052517206533,0.1311229007967034
0,LMSU_STOMACH,0.38013369589858165,0.19006684794929082,0.37034294240760446,0.33020680405022756
0,LN229_CENTRAL_NERVOUS_SYSTEM,0.5348328541904602,0.2674164270952301,0.2837908592167841,0.2501210814379233
0,LNCAPCLONEFGC_PROSTATE,0.480996718028464,0.240498359014232,0.09677559234905793,0.10927836962845093
0,LOVO_LARGE_INTESTINE,0.4440903522120076,0.2220451761060038,0.41710583140165075,0.36383544710585103
0,LUDLU1_LUNG,0.6065540377177375,0.30327701885886876,0.11654044407577539,0.1423526828348471
0,MALME3M_SKIN,0.9858688765129278,0.4929344382564639,0.25523947879122977,0.2263935788671406
0,MDAMB435S_SKIN,0.4612964856675157,0.23064824283375784,0.2687851835494128,0.25135753572104963
0,MDAMB468_BREAST,0.4223223198122922,0.2111611599061461,0.2979243078729711,0.2512818569176886
0,MIAPACA2_PANCREAS,0.34911741242455907,0.17455870621227954,0.5626766595495587,0.4513493037055282
0,MSTO211H_PLEURA,0.38048846745836684,0.19024423372918342,0.3941792102493339,0.33999211022931053
0,NCIH1048_LUNG,0.755815790361407,0.3779078951807035,0.10697850075278989,0.11373109318213084
0,NCIH1299_LUNG,0.290907694686188,0.145453847343094,0.3946071904559268,0.3369263469036267
0,NCIH1355_LUNG,0.5901543945483001,0.29507719727415005,0.2301099917732195,0.23367946657885033
0,NCIH1573_LUNG,0.696753717327474,0.348376858663737,0.11726358752911321,0.1288288591945403
0,NCIH1581_LUNG,0.4523722225863705,0.22618611129318525,0.16696927602574874,0.1879821508193005
0,NCIH1650_LUNG,0.6513279046374333,0.32566395231871664,0.12869872622124037,0.15099838728601236
0,NCIH1693_LUNG,0.42077250259416726,0.21038625129708363,0.2975601220756501,0.28149332345141265
0,NCIH1793_LUNG,0.5989345654190777,0.2994672827095389,0.12006309164241954,0.1407571887639606
0,NCIH1915_LUNG,0.5820335941977448,0.2910167970988724,0.28760574465732985,0.2770468495540073
0,NCIH2126_LUNG,0.5059597226012198,0.2529798613006099,0.15804313365313305,0.14447824663435016
0,NCIH2347_LUNG,0.8661751328639271,0.43308756643196356,0.20100900096884,0.19723728722684905
0,NCIH23_LUNG,0.4761446080163931,0.23807230400819654,0.24240719332379945,0.21062703031629584
0,NCIH2444_LUNG,0.51706947989287,0.258534739946435,0.37484474108967647,0.32200009881829933
0,NCIH322_LUNG,0.5848691696239873,0.29243458481199364,0.16355823533305655,0.1643772787607036
0,NCIH522_LUNG,0.6058539040169144,0.3029269520084572,0.0852155042621884,0.12204751388669348
0,NCIH838_LUNG,0.33308059624097264,0.16654029812048632,0.31981557209740186,0.2739405443724419
0,NCIH841_LUNG,0.4218173956682593,0.21090869783412966,0.2103420325058057,0.23043618739870791
0,NUGC3_STOMACH,0.5591781413775887,0.27958907068879435,0.23857509268360286,0.23258290157412045
0,OAW42_OVARY,0.2788630826905565,0.13943154134527824,0.40842518321733295,0.3400083824650983
0,OSRC2_KIDNEY,0.5795369025786831,0.28976845128934153,0.13738771882632592,0.18282109617165374
0,PANC0403_PANCREAS,0.6676347948852921,0.33381739744264605,0.25939886912514093,0.2428139973938194
0,PATU8988S_PANCREAS,0.5541739651079096,0.2770869825539548,0.28709561625063135,0.2636012045512116
0,PC3_PROSTATE,0.47522312333181216,0.23761156166590608,0.0754034752180588,0.09549755696999047
0,QGP1_PANCREAS,0.8359397757587974,0.4179698878793987,0.21787352559443035,0.22258859740384143
0,RCC10RGB_KIDNEY,0.4876082835359242,0.2438041417679621,0.25896867469568025,0.24342200775786343
0,RH30_SOFT_TISSUE,0.45308645969689954,0.22654322984844977,0.13798526294986754,0.14381248793928306
0,SKMEL24_SKIN,0.663734414324288,0.331867207162144,0.2782643700048263,0.2500343492646305
0,SKUT1_SOFT_TISSUE,0.49453339738814633,0.24726669869407317,0.1899074613107604,0.2049295154969345
0,SNB75_CENTRAL_NERVOUS_SYSTEM,0.6504640798730975,0.32523203993654876,0.08031400721108072,0.10445026902435782
0,SNU1041_UPPER_AERODIGESTIVE_TRACT,0.6323268870848326,0.3161634435424163,0.24865973835788252,0.259881896681749
0,SNU1105_CENTRAL_NERVOUS_SYSTEM,0.6259270287173211,0.31296351435866054,0.15486713868501847,0.17618073599323403
0,SNU1214_UPPER_AERODIGESTIVE_TRACT,1.0119166427328403,0.5059583213664202,0.17286313606673442,0.17596250936072705
0,SNU245_BILIARY_TRACT,0.6257731582493468,0.3128865791246734,0.20298515949901608,0.22466541630500808
0,SNU685_ENDOMETRIUM,0.49109871999700366,0.24554935999850183,0.20686057861932108,0.156752278617736
0,SW480_LARGE_INTESTINE,0.7849006082323016,0.3924503041161508,0.1824481748286803,0.1812486297876733
0,SW48_LARGE_INTESTINE,0.7988324288236731,0.39941621441183656,0.10231092659452487,0.1307202207379423
0,SW579_THYROID,0.7130023148810296,0.3565011574405148,0.16164238026532024,0.17703663633938874
0,SW900_LUNG,0.6553139178518163,0.3276569589259081,0.2811173705616524,0.26035270020894313
0,TE11_OESOPHAGUS,0.49734360243484044,0.24867180121742022,0.2112717837138679,0.20388040914206373
0,TE6_OESOPHAGUS,0.6507470407852618,0.3253735203926309,0.12959956727958152,0.11977402906179496
0,TEN_ENDOMETRIUM,0.5670429404689556,0.2835214702344778,0.12331720764592051,0.1209668016403326
0,TUHR4TKB_KIDNEY,0.6041827966279745,0.30209139831398724,0.13532917099823152,0.1626039235498043
0,UACC257_SKIN,0.5222115708207073,0.2611057854103537,0.4820831046637057,0.38692732987483697
1,22RV1_PROSTATE,0.7726948056588758,0.3863474028294379,0.08669614955438264,0.12247674235304765
1,42MGBA_CENTRAL_NERVOUS_SYSTEM,0.36430072625544013,0.18215036312772007,0.25774181781773986,0.22955389614900798
1,769P_KIDNEY,0.43188918288078504,0.21594459144039252,0.29223123231168907,0.24990857863839114
1,786O_KIDNEY,0.3080739166606531,0.15403695833032655,0.3097511780928094,0.25886730583127276
1,8505C_THYROID,0.48193254396580604,0.24096627198290302,0.31628595258271436,0.29157127320720283
1,A2780_OVARY,0.42095953024184224,0.21047976512092112,0.38037505543946304,0.36587387702017066
1,A375_SKIN,0.4781309447682958,0.2390654723841479,0.5880258558887742,0.48078000069868543
1,ACCMESO1_PLEURA,0.32654291147933673,0.16327145573966836,0.27656997830729807,0.23716654177563523
1,AGS_STOMACH,0.46764703589560336,0.23382351794780168,0.3129776513462576,0.28817168202573723
1,BEN_LUNG,0.4471127158060348,0.2235563579030174,0.17497226237054808,0.15552248788290005
1,CAL120_BREAST,0.3859099379387239,0.19295496896936196,0.24290256610309294,0.22151201497595288
1,CAL62_THYROID,0.31756879752648504,0.15878439876324252,0.5802068471018739,0.4584084377810272
1,CAOV3_OVARY,0.5089406932375771,0.25447034661878853,0.24745116290385089,0.24184031463901223
1,CJM_SKIN,0.7856447967252397,0.39282239836261984,0.194198280039397,0.17779549635056024
1,COLO668_LUNG,0.7826656159394402,0.3913328079697201,0.09446436237154873,0.10502832673597419
1,COLO680N_OESOPHAGUS,0.480112256966877,0.2400561284834385,0.2479865098680808,0.2165638758480685
1,COV434_OVARY,0.6209949122497185,0.31049745612485924,0.08690588290418623,0.0871541471287445
1,DMS273_LUNG,0.3534973089623809,0.17674865448119045,0.22763241087335018,0.20323105689708962
1,EFM192A_BREAST,0.7235689428511847,0.36178447142559234,0.07256640833081474,0.07715820488891721
1,G401_SOFT_TISSUE,0.5302370886387585,0.26511854431937926,0.16394873186168513,0.19062053546617966
1,GCIY_STOMACH,0.3481896755280708,0.1740948377640354,0.333900780897425,0.28286114795200334
1,GP2D_LARGE_INTESTINE,0.43304552617872133,0.21652276308936066,0.26127755986047935,0.2532964215093607
1,HCC1143_BREAST,0.5412745770889855,0.27063728854449276,0.17329489071969678,0.19720152317875903
1,HCC1195_LUNG,0.5696140011273535,0.28480700056367675,0.2731594180781216,0.25958458664522543
1,HCC1419_BREAST,0.7504724589246813,0.37523622946234064,0.13604655477351207,0.13122376996071344
1,HEC1B_ENDOMETRIUM,0.42438950004644055,0.21219475002322027,0.29015263143702225,0.26422738264966966
1,HEP3B217_LIVER,0.9200044274955755,0.46000221374778777,0.10897720805841594,0.12150203846255248
1,HS766T_PANCREAS,0.9566526078828052,0.4783263039414026,0.2610935762522211,0.26356001875642454
