cell_line,depmap_id,disease,time_hours,response_rms,rmse_to_time_mean
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,24,0.5113348403532649,0.4461688371051229
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,48,0.5751098382204907,0.5103445834077384
NCIH226_LUNG,ACH-000367,lung cancer,3,0.28733742607631535,0.28095052731815484
NCIH226_LUNG,ACH-000367,lung cancer,6,0.3291497953899221,0.32069888985292416
NCIH226_LUNG,ACH-000367,lung cancer,12,0.318135107329373,0.3137484578326553
NCIH226_LUNG,ACH-000367,lung cancer,24,0.29694879848463546,0.2815387801413713
NCIH226_LUNG,ACH-000367,lung cancer,48,0.2934260281865822,0.2793999681063642
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,3,0.24684493116903927,0.24283458259773866
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,6,0.2532275697809833,0.24468933488615696
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,12,0.2852505697529271,0.26950948860310425
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,24,0.31711590252406485,0.26283948154870024
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,48,0.2992694143222791,0.2404845474756027
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,3,0.24203635813549204,0.2310628328490752
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,6,0.27821370195930506,0.2592477180273278
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,12,0.3127840896150293,0.279697351463972
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,24,0.394825285650666,0.3264325028984366
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,48,0.4509581325225649,0.3712728963402315
RERFLCAD1_LUNG,ACH-000791,lung cancer,3,0.3787178128553462,0.35677224825140946
RERFLCAD1_LUNG,ACH-000791,lung cancer,6,0.40450665136137176,0.3769705215866368
RERFLCAD1_LUNG,ACH-000791,lung cancer,12,0.40558462207663437,0.3715813220848568
RERFLCAD1_LUNG,ACH-000791,lung cancer,24,0.3884619704293687,0.33752727551668443
RERFLCAD1_LUNG,ACH-000791,lung cancer,48,0.38444921017031236,0.3255614293333446
SH10TC_STOMACH,ACH-000764,gastric cancer,3,0.2568465593807755,0.25207634981343663
SH10TC_STOMACH,ACH-000764,gastric cancer,6,0.2729354215690914,0.2641540491201474
SH10TC_STOMACH,ACH-000764,gastric cancer,12,0.2507358301739173,0.24141317350522948
SH10TC_STOMACH,ACH-000764,gastric cancer,24,0.24328190476145223,0.22719123238659922
SH10TC_STOMACH,ACH-000764,gastric cancer,48,0.24326221735804243,0.22273726546079034
SKMEL2_SKIN,ACH-001190,skin cancer,3,0.28885959684740764,0.2783064571462397
SKMEL2_SKIN,ACH-001190,skin cancer,6,0.3099414885298016,0.28992176008956627
SKMEL2_SKIN,ACH-001190,skin cancer,12,0.35176185354593437,0.32102930220014625
SKMEL2_SKIN,ACH-001190,skin cancer,24,0.3855522035084103,0.328986280853842
SKMEL2_SKIN,ACH-001190,skin cancer,48,0.4448530798826671,0.3887221211995711
SKMEL3_SKIN,ACH-000423,skin cancer,3,0.3673436733791507,0.3550224955969421
