cell_line,control_6h_to_24h_rmse,drug_24h_response_rmse,control_vs_drug_pcc,control_vs_drug_cosine,lineage
QGP1_PANCREAS,0.4625457227230072,0.5295636653900146,-0.30999548585923187,-0.32781270146369934,pancreas
RCC10RGB_KIDNEY,0.2934489846229553,0.3211536407470703,-0.254735840283751,-0.25563400983810425,kidney
RH30_SOFT_TISSUE,0.2513962984085083,0.2644234895706177,-0.3950454379974185,-0.39879679679870605,rhabdomyosarcoma
SKMEL24_SKIN,0.3741442859172821,0.4462723731994629,-0.18748091798791308,-0.18919916450977325,skin
SKUT1_SOFT_TISSUE,0.2941128611564636,0.3031875789165497,-0.3228337989897189,-0.3275676667690277,soft_tissue
SNB75_CENTRAL_NERVOUS_SYSTEM,0.37704503536224365,0.35930222272872925,-0.3213234857132905,-0.32472264766693115,central_nervous_system
SNU1041_UPPER_AERODIGESTIVE_TRACT,0.3422005772590637,0.40941718220710754,-0.2963073808234806,-0.3024359941482544,upper_aerodigestive
SNU1105_CENTRAL_NERVOUS_SYSTEM,0.3842891752719879,0.36958158016204834,-0.34617455999052127,-0.3497498333454132,central_nervous_system
SNU1214_UPPER_AERODIGESTIVE_TRACT,0.47079578042030334,0.6170807480812073,-0.36461825566567385,-0.3675902187824249,upper_aerodigestive
SNU245_BILIARY_TRACT,0.34291625022888184,0.38996657729148865,-0.29899668299817744,-0.3083181381225586,bile_duct
SNU685_ENDOMETRIUM,0.30833807587623596,0.3074824810028076,-0.4384604757232136,-0.44267502427101135,uterus
SW480_LARGE_INTESTINE,0.3594720661640167,0.46797749400138855,-0.3821026779131921,-0.38231539726257324,colorectal
SW48_LARGE_INTESTINE,0.38048622012138367,0.44944462180137634,-0.39997366109220134,-0.40967220067977905,colorectal
SW579_THYROID,0.3838854432106018,0.42609673738479614,-0.2957911711328509,-0.2961341142654419,thyroid
SW900_LUNG,0.3432609438896179,0.4392011761665344,-0.35225310255192954,-0.35803040862083435,lung
TE11_OESOPHAGUS,0.2864612638950348,0.30824753642082214,-0.2648760203046901,-0.26504644751548767,esophagus
TE6_OESOPHAGUS,0.3241712152957916,0.3736051917076111,-0.31702060371297824,-0.3170073330402374,esophagus
TEN_ENDOMETRIUM,0.309146910905838,0.3238575756549835,-0.38705049909409683,-0.38592103123664856,uterus
TUHR4TKB_KIDNEY,0.35649725794792175,0.35107237100601196,-0.38041535623236944,-0.3807925283908844,kidney
UACC257_SKIN,0.24897393584251404,0.4434621036052704,-0.3377030194801555,-0.3437880873680115,skin
