cell_line,model,n_control_cells,n_treated_cells,energy_distance,sliced_wasserstein,distribution_metric_used_for_tuning,paired_cell_trajectory_claim
SKMEL2_SKIN,CCLR_FIXED_D20_R20_A100,94,82,8.85522589240616,4.0985518381107475,False,False
SKMEL3_SKIN,NO_CHANGE,31,41,9.145771784082676,4.701039008608616,False,False
SKMEL3_SKIN,B1,31,41,4.476930783800817,3.273283566007267,False,False
SKMEL3_SKIN,B4_FIXED_D20_A100,31,41,3.753673240128979,2.9695596240081454,False,False
SKMEL3_SKIN,CCLR_FIXED_D20_R20_A100,31,41,3.6723390693758766,2.9290367174424046,False,False
SNU1079_BILIARY_TRACT,NO_CHANGE,19,23,16.93234278755942,6.1612263186621306,False,False
SNU1079_BILIARY_TRACT,B1,19,23,9.129131165204939,4.422289965509529,False,False
SNU1079_BILIARY_TRACT,B4_FIXED_D20_A100,19,23,8.870214478387282,4.351606671043422,False,False
SNU1079_BILIARY_TRACT,CCLR_FIXED_D20_R20_A100,19,23,8.892352235674764,4.3557778933114255,False,False
SQ1_LUNG,NO_CHANGE,57,75,7.8368020206439795,4.362620933903295,False,False
SQ1_LUNG,B1,57,75,3.3534177161623333,2.8477736358422816,False,False
SQ1_LUNG,B4_FIXED_D20_A100,57,75,2.763072664014352,2.5683692924543124,False,False
SQ1_LUNG,CCLR_FIXED_D20_R20_A100,57,75,2.79772400293826,2.5885825859682505,False,False
UMUC1_URINARY_TRACT,NO_CHANGE,90,99,15.710286136047522,6.1008767471715535,False,False
UMUC1_URINARY_TRACT,B1,90,99,8.474212103770874,4.304185775110127,False,False
UMUC1_URINARY_TRACT,B4_FIXED_D20_A100,90,99,7.687296332037128,4.098261512927103,False,False
UMUC1_URINARY_TRACT,CCLR_FIXED_D20_R20_A100,90,99,7.66922248036191,4.094073494578749,False,False
