outer_fold,model,fold_pipeline_seconds,parameter_count,selected_control_genes
0,CCLR,0.6747217500233091,688118,5000
1,CCLR,0.6487213330110535,687918,5000
2,CCLR,0.6763013750023674,687718,5000
3,CCLR,0.6503008750150912,687618,5000
4,CCLR,0.6583802920067683,687918,5000
