row_index,outer_fold,b1_rmse,b4_rmse,rmse_gain_vs_b1,b4_pcc,b4_spearman,repeat,cell_line
0,1,0.6863366547425115,0.6880412937709286,-0.0017046390284171098,0.18725801351851742,0.1599424089996274,0,22RV1_PROSTATE
1,2,0.4592289047766126,0.46092468120790264,-0.0016957764312900414,0.279594982047439,0.23677233133506564,0,42MGBA_CENTRAL_NERVOUS_SYSTEM
2,3,0.6131625283149302,0.6160263586348028,-0.0028638303198725845,0.24671564385121642,0.16939262453349974,0,769P_KIDNEY
3,2,0.46786752025718353,0.46987475572924337,-0.0020072354720598318,0.2382001578624801,0.19543261086886857,0,786O_KIDNEY
4,0,0.5466043705371024,0.5475944468021188,-0.0009900762650163486,0.29668630947794494,0.2615644854267301,0,8505C_THYROID
5,0,0.6594056947890311,0.662463240371287,-0.003057545582255905,0.25036502085173756,0.22197848473523468,0,A2780_OVARY
6,1,0.6158970417978903,0.6125113031813422,0.0033857386165481174,0.41300058681760105,0.3418567967110657,0,A375_SKIN
7,3,0.45701593224934983,0.4563403851045534,0.0006755471447964512,0.24556094565522493,0.20013742592533582,0,ACCMESO1_PLEURA
8,0,0.5724382244435308,0.5744515789321456,-0.002013354488614838,0.2875249243960997,0.2435558039684998,0,AGS_STOMACH
9,0,0.5622941841324562,0.5672070267585188,-0.004912842626062508,0.14483937798532645,0.11346414324180863,0,BEN_LUNG
10,1,0.4605571982181992,0.4638909880589071,-0.0033337898407079236,0.25490997517893293,0.2197163778142701,0,CAL120_BREAST
11,3,0.5912809857783594,0.5935016255784553,-0.0022206398000959027,0.34172710298022846,0.30157408333875935,0,CAL62_THYROID
12,2,0.48673424164643764,0.4911094563131325,-0.004375214666694882,0.28832601850433015,0.23546395170487766,0,CAOV3_OVARY
13,3,0.5935197729552846,0.5931954189448717,0.00032435401041286394,0.3217295786430689,0.2632633351955077,0,CJM_SKIN
14,1,0.5473388077355661,0.550414787544551,-0.0030759798089848855,0.22662009989736528,0.20363609562705365,0,COLO668_LUNG
15,2,0.5223576534728719,0.5226314740102461,-0.0002738205373742364,0.2718347222454117,0.2013116624450093,0,COLO680N_OESOPHAGUS
16,1,0.5764442293083462,0.5797599002678872,-0.003315670959540995,0.17720042334133007,0.1073614498060903,0,COV434_OVARY
17,0,0.5113226229069527,0.510207042453402,0.0011155804535507574,0.20128973381955081,0.19100956711718828,0,DMS273_LUNG
18,4,0.5373112634624858,0.5435966574420686,-0.006285393979582832,0.2339697219773265,0.19103592898807323,0,EFM192A_BREAST
19,2,0.6096272041616152,0.6138307470754193,-0.0042035429138040925,0.21481010342402385,0.21224685732929438,0,G401_SOFT_TISSUE
20,1,0.47845184958084974,0.47961819881482837,-0.0011663492339786252,0.3028908380290722,0.28142575600099606,0,GCIY_STOMACH
21,1,0.5470086553378894,0.5505518843173528,-0.003543228979463353,0.20136777872994507,0.1790553269932962,0,GP2D_LARGE_INTESTINE
22,2,0.558256868383402,0.5586463049084104,-0.00038943652500833537,0.27331045491411937,0.20310133414243986,0,HCC1143_BREAST
23,0,0.4470535093369326,0.44809939614461336,-0.0010458868076807515,0.337459502505706,0.27335410854961634,0,HCC1195_LUNG
24,3,0.6215811090094304,0.6256854086195075,-0.004104299610077078,0.20335468060718656,0.16485196195343768,0,HCC1419_BREAST
25,4,0.4709925675358233,0.4719083200131076,-0.0009157524772843151,0.27436940802806187,0.2209620126915356,0,HEC1B_ENDOMETRIUM
26,3,0.5274630581199544,0.533958816246278,-0.006495758126323525,0.23292782797607375,0.1865193364623805,0,HEP3B217_LIVER
27,2,0.6480410219841838,0.6450049764230653,0.0030360455611184722,0.4034365261362066,0.34820056586250026,0,HS766T_PANCREAS
28,4,0.736592266619158,0.7337358675045967,0.002856399114561259,0.27972039738360355,0.2355808900188343,0,HS852T_SKIN
29,3,0.5231820504760207,0.5177507080348366,0.0054313424411841504,0.43583588061630313,0.33849670416325345,0,HUCCT1_BILIARY_TRACT
30,2,0.6389110165010532,0.6405096724532549,-0.0015986559522016552,0.2835455339663783,0.22901000811225417,0,IGR1_SKIN
31,4,0.47478077118348894,0.47613053125670163,-0.0013497600732126913,0.28943296420511005,0.23939367001470657,0,IGROV1_OVARY
32,0,0.5255375616717274,0.5271271910354904,-0.0015896293637630565,0.3149834826830361,0.2686030925309324,0,ISTMES1_PLEURA
33,0,0.4970577374467745,0.49893073681547434,-0.0018729993686998347,0.28261830560498324,0.2395416822467578,0,J82_URINARY_TRACT
34,4,0.5654512900373669,0.5713988158718433,-0.00594752583447633,0.3040862452971774,0.23680799704713287,0,JHH5_LIVER
35,3,0.5415672044871447,0.5454728181409257,-0.0039056136537810593,0.20212603936432552,0.16942521340434938,0,KNS42_CENTRAL_NERVOUS_SYSTEM
36,4,0.4489264566597297,0.44895238480398053,-2.592814425084189e-05,0.2345312961311437,0.17718705636701468,0,KNS60_CENTRAL_NERVOUS_SYSTEM
37,0,0.6257132771312711,0.6274164456636484,-0.001703168532377286,0.29036844826114,0.22050582463392976,0,KNS81_CENTRAL_NERVOUS_SYSTEM
38,3,0.5143222049040377,0.5198661131952151,-0.005543908291177457,0.2578576974808147,0.22295285836884277,0,KYSE270_OESOPHAGUS
39,1,0.6355699236757772,0.6384979659668755,-0.0029280422910982207,0.19238122950426764,0.13047665591208119,0,LI7_LIVER
40,3,0.52823497172242,0.533879791891197,-0.005644820168777098,0.2354032262043481,0.22766957901986448,0,LK2_LUNG
41,3,0.5399213748983781,0.5391167141831708,0.0008046607152073504,0.29346848685580157,0.23915408177456304,0,LMSU_STOMACH
42,1,0.6047584310982357,0.6064236826345264,-0.0016652515362907128,0.30602620686644444,0.2365228939463206,0,LN229_CENTRAL_NERVOUS_SYSTEM
43,4,0.532892347900133,0.5357842567280393,-0.002891908827906353,0.23326989493324823,0.18826008149553156,0,LNCAPCLONEFGC_PROSTATE
44,0,0.5320362383221292,0.5333291140649401,-0.001292875742810895,0.33347434827455424,0.2883283109261343,0,LOVO_LARGE_INTESTINE
45,2,0.49833062313810383,0.5004541312609008,-0.0021235081227969355,0.298094869237931,0.2543564056189789,0,LUDLU1_LUNG
46,0,0.8133427492616554,0.8082291052222974,0.00511364403935799,0.3098315720874031,0.2268116417374341,0,MALME3M_SKIN
47,1,0.5318202379914563,0.5368412963873798,-0.005021058395923483,0.2542798819978434,0.20500128531110526,0,MDAMB435S_SKIN
48,0,0.4630798423818673,0.4627526417495834,0.00032720063228386387,0.2678299990546261,0.1913076506097103,0,MDAMB468_BREAST
49,0,0.49456701343062875,0.49810458960839354,-0.0035375761777647896,0.30814015816176343,0.2583706383219514,0,MIAPACA2_PANCREAS
50,2,0.442560539230097,0.4432950268005606,-0.0007344875704635712,0.3487234996463668,0.3011371624239085,0,MSTO211H_PLEURA
51,4,0.6947276182566244,0.6965323140665758,-0.001804695809951351,0.22022161084187625,0.18243669335309493,0,NCIH1048_LUNG
52,3,0.44839088014043954,0.44745459767965473,0.0009362824607848097,0.2532187086390608,0.20183678839229835,0,NCIH1299_LUNG
53,1,0.5945527532432093,0.5989053470296872,-0.0043525937864778985,0.26853261095666026,0.208771895004251,0,NCIH1355_LUNG
54,4,0.5174290677054783,0.5195668626527663,-0.002137794947288052,0.26759143755939657,0.22455868956332764,0,NCIH1573_LUNG
55,2,0.5974823821123649,0.601143093615611,-0.0036607115032460946,0.22068213284411353,0.18017925241459265,0,NCIH1581_LUNG
56,4,0.5254458461981035,0.526614230038427,-0.0011683838403234725,0.27793687440420384,0.2209732301831611,0,NCIH1650_LUNG
57,3,0.5129748081046037,0.5168214690642926,-0.0038466609596888857,0.3390205188245232,0.2874128110981561,0,NCIH1693_LUNG
58,2,0.4869764846136291,0.48855706309802,-0.0015805784843909154,0.21813534588884625,0.17091931110295586,0,NCIH1793_LUNG
59,2,0.5778247126795045,0.5778120837331392,1.262894636533396e-05,0.32497302779283255,0.2746067806395097,0,NCIH1915_LUNG
60,1,0.4974224356673623,0.4997905213687512,-0.002368085701388911,0.2045105987168156,0.16073844617451963,0,NCIH2126_LUNG
61,0,0.5692056966241831,0.5676078814865416,0.0015978151376414562,0.34525963485304123,0.2682751943058571,0,NCIH2347_LUNG
62,0,0.555560606706324,0.5563145815885605,-0.0007539748822364967,0.23159892472734245,0.1743102723955961,0,NCIH23_LUNG
63,2,0.539810313930246,0.538924591098495,0.0008857228317510346,0.3512585883840339,0.26450762458255644,0,NCIH2444_LUNG
64,4,0.4950563336208133,0.49649235524395524,-0.0014360216231419365,0.28595045052669216,0.2301846331496419,0,NCIH322_LUNG
65,1,0.5635763800831677,0.5652678039367387,-0.0016914238535710169,0.1820773611753134,0.14053779267638924,0,NCIH522_LUNG
66,4,0.528631690717797,0.529139947135419,-0.0005082564176219773,0.2147682077854672,0.16604516346560785,0,NCIH838_LUNG
67,1,0.5828823894179328,0.5851942985382917,-0.002311909120358946,0.20503007067053577,0.16726324828473213,0,NCIH841_LUNG
68,4,0.5908193668505982,0.5915161813362984,-0.0006968144857001368,0.3051950284550285,0.26052303032771085,0,NUGC3_STOMACH
69,3,0.44121227378160943,0.44564996366544246,-0.004437689883833029,0.27766207203555476,0.24651993937186953,0,OAW42_OVARY
70,4,0.5163339918859143,0.5205634038357779,-0.004229411949863593,0.2683174205820671,0.2367178106182558,0,OSRC2_KIDNEY
71,1,0.5765680768404116,0.5716601885151565,0.0049078883252550165,0.39253451652509036,0.30264389389196467,0,PANC0403_PANCREAS
72,3,0.5454796134566674,0.5474124394633344,-0.0019328260066669989,0.26673647828508273,0.19072831067456247,0,PATU8988S_PANCREAS
73,2,0.5451532915624292,0.5499853977586221,-0.004832106196192898,0.15720278544203628,0.12998874861933812,0,PC3_PROSTATE
74,4,0.5886327072476342,0.5933965782614635,-0.004763871013829357,0.29479434190573967,0.25246083130991165,0,QGP1_PANCREAS
75,0,0.5090694702441414,0.512491165743953,-0.003421695499811639,0.31097329077643926,0.24271543868355094,0,RCC10RGB_KIDNEY
76,4,0.4849927479579243,0.48636337819066716,-0.0013706302327428643,0.2036557034703447,0.1619380524723087,0,RH30_SOFT_TISSUE
77,3,0.6988448098986229,0.6922526154440889,0.006592194454533962,0.375847053282494,0.30490551532244564,0,SKMEL24_SKIN
78,1,0.5763765607870946,0.5783095415035965,-0.001932980716501831,0.24255912110037495,0.20268724245089784,0,SKUT1_SOFT_TISSUE
79,4,0.6150906200505973,0.6179641913006811,-0.002873571250083806,0.22401654648231256,0.1901292468610053,0,SNB75_CENTRAL_NERVOUS_SYSTEM
80,2,0.6240631551975392,0.6250560156023611,-0.000992860404821938,0.3327783066785366,0.2714236552302832,0,SNU1041_UPPER_AERODIGESTIVE_TRACT
81,2,0.5023664101018849,0.5042656329672586,-0.0018992228653736953,0.2587081796287862,0.20182817995228627,0,SNU1105_CENTRAL_NERVOUS_SYSTEM
82,1,0.6829836200521098,0.6843241260837554,-0.0013405060316455941,0.3483810957292402,0.2850226683673438,0,SNU1214_UPPER_AERODIGESTIVE_TRACT
83,4,0.5143404923471296,0.5177566960879351,-0.0034162037408054235,0.3005714363487397,0.26243608228524573,0,SNU245_BILIARY_TRACT
84,0,0.46362655176781165,0.4624552322276923,0.0011713195401193421,0.2532816740212226,0.2005485437263571,0,SNU685_ENDOMETRIUM
85,3,0.5653259227604416,0.5687264239911073,-0.003400501230665709,0.25899570954779955,0.18213349786554325,0,SW480_LARGE_INTESTINE
86,2,0.6087313735744033,0.611614166773274,-0.002882793198870637,0.25840533984800734,0.21415523159796293,0,SW48_LARGE_INTESTINE
87,2,0.5434913367953869,0.5452412215955812,-0.0017498848001943346,0.27970932379927604,0.2135796065431626,0,SW579_THYROID
88,3,0.6057456070447259,0.6023204505672912,0.0034251564774346877,0.3910957264641555,0.3187174330842647,0,SW900_LUNG
89,4,0.579805355979274,0.5883354967388502,-0.008530140759576255,0.19800146191027013,0.15580239868009477,0,TE11_OESOPHAGUS
90,0,0.49644514092411884,0.49885534506954426,-0.002410204145425421,0.29683252698868806,0.24102114478211514,0,TE6_OESOPHAGUS
91,1,0.4729372664192398,0.47334790539348476,-0.0004106389742449812,0.2678643403918679,0.2161432876066425,0,TEN_ENDOMETRIUM
92,1,0.5287787880158655,0.5338178113920586,-0.005039023376193108,0.2562642329298649,0.20952220193265214,0,TUHR4TKB_KIDNEY
93,0,0.6780387162651894,0.6747290041149755,0.003309712150213917,0.36266280222736813,0.2808548559741467,0,UACC257_SKIN
0,1,0.6788754420116206,0.6803846209587411,-0.0015091789471204375,0.2322972961522521,0.19556018837468753,1,22RV1_PROSTATE
1,2,0.4611588029562749,0.46313803083687166,-0.0019792278805967345,0.254128271434658,0.19932514637911422,1,42MGBA_CENTRAL_NERVOUS_SYSTEM
2,3,0.5816618994680369,0.5850485968743278,-0.0033866974062908284,0.24360370676983134,0.1956800284594702,1,769P_KIDNEY
3,2,0.4831774914813579,0.48420820866522135,-0.0010307171838634388,0.2386892989073832,0.18843616584462,1,786O_KIDNEY
