cell_line,depmap_id,disease,time_hours,model,rmse_delta,pcc_delta,spearman_delta,rmse_gain_vs_b1,external_test,temporal_response_used_for_fit
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,3,CCLR_FIXED_D20_R20_A100,0.36019862095871347,0.036724721417157206,-0.0139572411497516,-0.014645122765321317,True,False
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,3,CCLR_FIXED_D20_R20_A100,0.40906715312502184,0.055723379201243546,0.009174523171441134,-0.007841082136804012,True,False
BT474_BREAST,ACH-000927,breast cancer,3,CCLR_FIXED_D20_R20_A100,0.3731325103643608,0.0886390074998103,0.08466690225163426,0.00038511450125194857,True,False
BT549_BREAST,ACH-000288,breast cancer,3,CCLR_FIXED_D20_R20_A100,0.4052797072243099,0.05975880928047217,0.02024570424670468,0.000809967945534229,True,False
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,3,CCLR_FIXED_D20_R20_A100,0.4388014399092031,0.055125185161912185,0.03174251505644087,-0.0013931334425368314,True,False
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,3,CCLR_FIXED_D20_R20_A100,0.41062025039902483,0.02358041236552737,-0.013693789902686389,-0.0043787699991476026,True,False
IALM_LUNG,ACH-000672,lung cancer,3,CCLR_FIXED_D20_R20_A100,0.487456273709128,0.06481383596155023,0.05580156393682506,-0.0020210168437916898,True,False
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,3,CCLR_FIXED_D20_R20_A100,0.44701202829886383,0.12655133574704167,0.08481648575193787,-0.004760557210392313,True,False
NCIH226_LUNG,ACH-000367,lung cancer,3,CCLR_FIXED_D20_R20_A100,0.32628783871778155,0.022945914520047038,-0.021447741343712953,-0.002355397421403893,True,False
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,3,CCLR_FIXED_D20_R20_A100,0.27636666632877194,0.16854297184295985,0.07403574397706005,-0.004940900385099145,True,False
RERFLCAD1_LUNG,ACH-000791,lung cancer,3,CCLR_FIXED_D20_R20_A100,0.41166631238651497,0.0920237697553412,0.028681479794782583,-0.014127135167000149,True,False
SH10TC_STOMACH,ACH-000764,gastric cancer,3,CCLR_FIXED_D20_R20_A100,0.29746707759462104,0.04163707150489854,-0.0020830917351606,0.0006289724292937726,True,False
SKMEL2_SKIN,ACH-001190,skin cancer,3,CCLR_FIXED_D20_R20_A100,0.32148727142032657,0.1575591842360584,0.10741305602689631,-0.012838613696312229,True,False
SKMEL3_SKIN,ACH-000423,skin cancer,3,CCLR_FIXED_D20_R20_A100,0.40025903867370477,0.08401383431442357,0.062204304371246626,-0.012899785219235516,True,False
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,3,CCLR_FIXED_D20_R20_A100,0.49274809772142364,0.03816376625765603,-0.008327859388209737,-0.0013795098411091278,True,False
SQ1_LUNG,ACH-000553,lung cancer,3,CCLR_FIXED_D20_R20_A100,0.3059445160129827,0.1319700115962569,0.10012968370900147,-0.015065709104777447,True,False
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,3,CCLR_FIXED_D20_R20_A100,0.2823228106664347,0.1290787602957545,0.05424301231871525,-0.013037858509339584,True,False
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,6,B1,0.353528175305019,0.1383801110360343,0.09295298181480706,0.0,True,False
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,6,B1,0.4696943608622874,0.16107854759098236,0.14625618953189282,0.0,True,False
BT474_BREAST,ACH-000927,breast cancer,6,B1,0.3591454649036853,0.14683662290881902,0.1427036712154634,0.0,True,False
BT549_BREAST,ACH-000288,breast cancer,6,B1,0.430430777737711,0.07149354255730764,0.03271394449875453,0.0,True,False
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,6,B1,0.41567999453707954,0.09983527882217705,0.07293500360893997,0.0,True,False
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,6,B1,0.45211386135594955,0.0719290493779496,0.05138693378236227,0.0,True,False
IALM_LUNG,ACH-000672,lung cancer,6,B1,0.6305579852476646,0.043980915462130066,0.047158517322374596,0.0,True,False
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,6,B1,0.44746602418004994,0.22824585626807223,0.184846832084718,0.0,True,False
NCIH226_LUNG,ACH-000367,lung cancer,6,B1,0.3550524973857784,0.07680776387823171,0.05399491687158889,0.0,True,False
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,6,B1,0.28791330987625086,0.24356173868345626,0.1722012324255837,0.0,True,False
RERFLCAD1_LUNG,ACH-000791,lung cancer,6,B1,0.41666232091580263,0.14925021563706162,0.07171481195895293,0.0,True,False
SH10TC_STOMACH,ACH-000764,gastric cancer,6,B1,0.30299165168958475,0.11249757744017992,0.0518765192543113,0.0,True,False
SKMEL2_SKIN,ACH-001190,skin cancer,6,B1,0.3209872940886568,0.18757691049725436,0.1321605775147206,0.0,True,False
SKMEL3_SKIN,ACH-000423,skin cancer,6,B1,0.38022368055183914,0.12737151813304287,0.113543542312219,0.0,True,False
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,6,B1,0.5101238442343767,0.2468210898709285,0.20301118251727082,0.0,True,False
SQ1_LUNG,ACH-000553,lung cancer,6,B1,0.3009341485449112,0.1152682525175258,0.06183134026027452,0.0,True,False
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,6,B1,0.26776624073055094,0.2677429575250497,0.18763775027065696,0.0,True,False
