gene_symbol,gene_id,n_cell_lines,mean_delta_log1p_cpm,median_delta_log1p_cpm,ci95_low,ci95_high,fraction_negative
EGR1,ENSG00000120738,94,-2.669840527975813,-2.7669845819473267,-2.8264878436764502,-2.5035054890874853,1.0
ETV4,ENSG00000175832,94,-2.4672736493830985,-2.485203742980957,-2.6492949218509043,-2.2791554236190117,1.0
ETV5,ENSG00000244405,94,-1.8757397798781699,-1.8547040820121765,-2.0355314782642306,-1.7149602439492309,0.9893617021276596
DUSP4,ENSG00000120875,94,-1.4319429140775761,-1.347768783569336,-1.6022248064346136,-1.2735928483624408,0.9787234042553191
DUSP5,ENSG00000138166,94,-1.1060304914383179,-1.103427767753601,-1.2330913810812412,-0.9815652788319489,0.9680851063829787
DUSP6,ENSG00000139318,94,-2.3944393339309284,-2.242372155189514,-2.577553759657956,-2.2100947635287933,1.0
SPRY2,ENSG00000136158,94,-0.9966462533524696,-0.8241015076637268,-1.1463350068540015,-0.8491076530769786,0.9468085106382979
SPRY4,ENSG00000187678,94,-1.3050145684404577,-1.2757955193519592,-1.446933670104184,-1.1675906087489838,0.9787234042553191
