component,direction,rank,gene_id,gene_symbol,loading
2,positive,14,ENSG00000151014,CCRN4L,0.04350973707772307
2,positive,15,ENSG00000123358,NR4A1,0.04307042521456063
2,positive,16,ENSG00000110876,SELPLG,0.04299364883471031
2,positive,17,ENSG00000267381,CTD-2086O20.3,0.04272311214027809
2,positive,18,ENSG00000183496,MEX3B,0.041682686235625085
2,positive,19,ENSG00000186594,MIR22HG,0.04107545867833453
2,positive,20,ENSG00000104419,NDRG1,0.03996551461359126
2,positive,21,ENSG00000099860,GADD45B,0.039389711339881416
2,positive,22,ENSG00000149591,TAGLN,0.03921154035824956
2,positive,23,ENSG00000165895,ARHGAP42,0.03892480137574271
2,positive,24,ENSG00000090975,PITPNM2,0.03887441275138126
2,positive,25,ENSG00000095383,TBC1D2,0.03883367316467136
3,negative,1,ENSG00000203783,PRR9,-0.05934698035896395
3,negative,2,ENSG00000109501,WFS1,-0.05537108631501177
3,negative,3,ENSG00000205809,KLRC2,-0.054481023796910465
3,negative,4,ENSG00000107719,PALD1,-0.05441735047179383
3,negative,5,ENSG00000019186,CYP24A1,-0.05211302641308333
3,negative,6,ENSG00000221968,FADS3,-0.04735042721417238
3,negative,7,ENSG00000130635,COL5A1,-0.04699593800937392
3,negative,8,ENSG00000103888,KIAA1199,-0.046479977031181806
3,negative,9,ENSG00000145287,PLAC8,-0.04633133835793265
3,negative,10,ENSG00000221955,SLC12A8,-0.04600055985874107
3,negative,11,ENSG00000158050,DUSP2,-0.045214038470369075
3,negative,12,ENSG00000197406,DIO3,-0.044381835548649044
3,negative,13,ENSG00000165376,CLDN2,-0.043894608387034004
3,negative,14,ENSG00000272168,CASC15,-0.04303789160351307
3,negative,15,ENSG00000127824,TUBA4A,-0.04279457880363926
3,negative,16,ENSG00000233101,HOXB-AS3,-0.04259177973085562
3,negative,17,ENSG00000131746,TNS4,-0.041603372537932524
3,negative,18,ENSG00000140297,GCNT3,-0.041511726690431724
3,negative,19,ENSG00000116663,FBXO6,-0.041498506890357244
3,negative,20,ENSG00000258498,DIO3OS,-0.04114456739711456
3,negative,21,ENSG00000163220,S100A9,-0.04111114678507307
3,negative,22,ENSG00000133466,C1QTNF6,-0.040339455353658286
3,negative,23,ENSG00000197191,C9orf169,-0.039114886982659434
3,negative,24,ENSG00000167757,KLK11,-0.038959385568049176
3,negative,25,ENSG00000164535,DAGLB,-0.038889032941310527
3,positive,1,ENSG00000164283,ESM1,0.078881894840293
3,positive,2,ENSG00000165092,ALDH1A1,0.07683408782928716
3,positive,3,ENSG00000167772,ANGPTL4,0.07302833353092984
3,positive,4,ENSG00000129757,CDKN1C,0.05780516706283084
3,positive,5,ENSG00000267279,RP11-879F14.2,0.05631946053008223
3,positive,6,ENSG00000085117,CD82,0.05604679069214127
3,positive,7,ENSG00000154928,EPHB1,0.05565762934742682
3,positive,8,ENSG00000183036,PCP4,0.053849918139061904
3,positive,9,ENSG00000106089,STX1A,0.05120137638686962
3,positive,10,ENSG00000120217,CD274,0.04965314667940868
3,positive,11,ENSG00000163661,PTX3,0.04953464522112899
3,positive,12,ENSG00000244405,ETV5,0.048881406822700875
