outer_fold,component,n_test_lines,observed_vs_predicted_pcc,score_rmse,explained_variance_ratio
0,1,19,0.6246602372841732,7.108688811633928,0.05553688946113453
0,2,19,0.8618999243589512,1.43776546058567,0.03903005911200724
0,3,19,-0.1441510395866146,2.542982720324559,0.03578663602466285
0,4,19,0.6673384127828342,4.702987689022513,0.03214305828721827
0,5,19,0.3037165598846353,2.4185747074114667,0.02958947463965877
0,6,19,0.3145211008575476,3.452366434029332,0.02933470580615556
0,7,19,0.6389391115378418,1.9308456197834998,0.023540764245296095
0,8,19,0.5128236837630842,1.320725740474107,0.02278223756126588
0,9,19,0.6434114881948344,1.43220002625769,0.022171650152042307
0,10,19,0.8513963799282839,1.445152370100232,0.021498362504201927
0,11,19,0.811080589916535,1.2864312935221252,0.021005602085431934
0,12,19,0.856304868431865,1.9080774702755394,0.020861858260621872
0,13,19,0.6870743834851154,1.1841863914396178,0.020018410335138008
0,14,19,0.05501178342673127,2.135910711337006,0.019644318307884757
0,15,19,0.6053485641551368,1.297459986056999,0.019137768275404216
0,16,19,0.19375598558694176,2.153473996467733,0.01840862265956599
0,17,19,0.5994800420558746,1.4489141793953362,0.016926046455329198
0,18,19,0.19814237029594717,1.810885446828845,0.016361539588049298
0,19,19,0.4736578142576042,1.5190943134459531,0.01607243223060492
0,20,19,0.5572882383617073,1.246700727270359,0.015388815828567983
1,1,19,0.6129377649299756,7.625562035621342,0.057886456019609504
1,2,19,0.49792946362746343,2.9542658979528094,0.041134004299364056
1,3,19,0.48203560183303074,2.4401704734058187,0.03836189324300644
1,4,19,0.7312964405963293,2.9975977962452354,0.03375132845726413
1,5,19,0.035752873951842755,2.704853149085105,0.030269094552349586
1,6,19,0.284659205985292,2.86349466204425,0.0298010788931121
1,7,19,0.5045650164670135,3.067588809290012,0.02529843031794357
1,8,19,0.7559873792052242,1.4345080424045284,0.023778254499640477
1,9,19,0.7214818076027886,1.6721447197128092,0.023582512277617103
1,10,19,0.5018021197405553,1.6266124179379235,0.022343873325457377
1,11,19,0.6820202698441015,0.9510069197376766,0.02146940512705462
1,12,19,0.8378837055552629,1.207118741952491,0.020035703309144556
1,13,19,-0.24835202843590942,2.114485583180809,0.019550685197386005
1,14,19,0.583089775811728,1.9761485446909928,0.01874400445099701
1,15,19,0.5613170033898859,1.5211750095925498,0.01752084093882982
1,16,19,0.3672598742380752,1.3485782316538033,0.016983114541716297
1,17,19,0.6376471455951711,1.4759981775933264,0.016800570254349962
1,18,19,0.5043991504185323,1.3746926918908833,0.01614095696653734
1,19,19,0.23889720525848687,1.656843301007208,0.01542228241487413
1,20,19,-0.25269869222540015,1.399519543894043,0.015070020446336502
2,1,19,0.2933785704485539,7.704649702023341,0.05777488503084776
2,2,19,0.687670847811485,2.589820957532852,0.04120841377346551
2,3,19,0.08771131971807107,1.7103831333482906,0.037796951418664494
2,4,19,0.276510463079185,3.583515186148645,0.0347374008436251
2,5,19,0.05699203249975673,2.7924554461218394,0.030373673023777963
2,6,19,0.017407440449213617,1.6180607842511932,0.02920709216542977
2,7,19,0.42507394767487316,1.960573007338267,0.025866078062590017
2,8,19,0.8377678296786041,1.3297476405868067,0.023275621923846315
2,9,19,0.6170589705478321,1.3146293024792872,0.02281038379402894
2,10,19,0.6307434584608134,1.2031180578058855,0.021475097441035356
2,11,19,0.8001126181056801,1.3129158133321324,0.020697253462445706
2,12,19,0.7010695674883142,1.453280951684446,0.020337653601742504
2,13,19,-0.15184951210677078,1.1763706794761306,0.020101040472085784
2,14,19,0.7431649131295736,1.3592511444297235,0.019636352701348087
2,15,19,0.7701506761805115,0.9259233336044898,0.018932014046282118
2,16,19,0.6682865167852402,1.6111387568990105,0.01784084832246017
2,17,19,0.4160801659608719,1.2690953436287629,0.016791747566558088
2,18,19,0.5899605021669485,1.009675275667831,0.016000892736002775
2,19,19,0.7116367208360064,1.1587762699845208,0.01569327229429144
2,20,19,0.5619873717395887,1.2696312495348796,0.015136957416106635
3,1,18,0.6175035225625062,6.588346828208046,0.0590276386301397
3,2,18,0.7201918497896757,1.851731807080113,0.0417603896438152
3,3,18,0.5840913336021347,1.1640530822310813,0.037422503540721914
3,4,18,0.2518553352663458,1.8163294186749512,0.03492548939051973
3,5,18,0.5498555282949124,4.703410123073933,0.03177268591544571
3,6,18,0.3954243111164302,2.063388240681483,0.028643208818180745
3,7,18,0.5146211328182955,3.284154035253281,0.024996911660265367
3,8,18,0.5596480767021239,1.5749195577237447,0.022439399435821027
3,9,18,0.40853758410267194,1.4869717501244837,0.020934939035257887
3,10,18,0.5484179106347207,0.9601210220528842,0.02029533744993712
3,11,18,0.4791288198349182,1.9542825696180375,0.020016374477857084
3,12,18,0.715062780354703,1.3363155289636504,0.019737154057565005
3,13,18,0.5133446422106487,1.0731362839971368,0.018750098020814482
