outer_fold,component,direction,collection,top_gene_count,pathway_gene_count,overlap_count,overlap_genes,p_value,fdr_bh
0,7,negative,MAPK_KRAS_signaling,50,384,2,G0S2;TFF2,0.11711436088896492,0.4324222555900243
0,7,negative,E2F_targets,50,195,0,,1.0,1.0
0,7,negative,G2M_checkpoint,50,187,0,,1.0,1.0
0,7,negative,apoptosis,50,159,0,,1.0,1.0
0,7,negative,epithelial_mesenchymal_transition,50,195,0,,1.0,1.0
0,7,negative,immediate_early_response,50,8,0,,1.0,1.0
0,7,positive,MAPK_KRAS_signaling,50,384,3,MALL;TNFAIP3;WNT7A,0.021059636979382085,0.13514205548266578
0,7,positive,E2F_targets,50,195,0,,1.0,1.0
0,7,positive,G2M_checkpoint,50,187,0,,1.0,1.0
0,7,positive,apoptosis,50,159,1,IER3,0.2167651816129296,0.6059390940465911
0,7,positive,epithelial_mesenchymal_transition,50,195,2,FSTL1;TNFAIP3,0.03605769434394831,0.15791690953554005
0,7,positive,immediate_early_response,50,8,1,DUSP4,0.012189583767522912,0.10523381669803952
0,8,negative,MAPK_KRAS_signaling,50,384,2,FGFR3;MMP9,0.11711436088896492,0.4324222555900243
0,8,negative,E2F_targets,50,195,1,PRIM2,0.2590389627049177,0.6059390940465911
0,8,negative,G2M_checkpoint,50,187,2,E2F2;PRIM2,0.03340855616934965,0.15791690953554005
0,8,negative,apoptosis,50,159,0,,1.0,1.0
0,8,negative,epithelial_mesenchymal_transition,50,195,0,,1.0,1.0
0,8,negative,immediate_early_response,50,8,0,,1.0,1.0
0,8,positive,MAPK_KRAS_signaling,50,384,2,SERPINB2;UPK3B,0.11711436088896492,0.4324222555900243
0,8,positive,E2F_targets,50,195,0,,1.0,1.0
0,8,positive,G2M_checkpoint,50,187,0,,1.0,1.0
0,8,positive,apoptosis,50,159,1,IL6,0.2167651816129296,0.6059390940465911
0,8,positive,epithelial_mesenchymal_transition,50,195,2,IL6;TAGLN,0.03605769434394831,0.15791690953554005
0,8,positive,immediate_early_response,50,8,0,,1.0,1.0
0,9,negative,MAPK_KRAS_signaling,50,384,0,,1.0,1.0
0,9,negative,E2F_targets,50,195,0,,1.0,1.0
0,9,negative,G2M_checkpoint,50,187,0,,1.0,1.0
0,9,negative,apoptosis,50,159,0,,1.0,1.0
0,9,negative,epithelial_mesenchymal_transition,50,195,0,,1.0,1.0
0,9,negative,immediate_early_response,50,8,1,DUSP5,0.012189583767522912,0.10523381669803952
0,9,positive,MAPK_KRAS_signaling,50,384,4,FGFR3;PTPRJ;SPRR3;TNNI3,0.002833930021249421,0.03861799438185083
0,9,positive,E2F_targets,50,195,0,,1.0,1.0
0,9,positive,G2M_checkpoint,50,187,0,,1.0,1.0
0,9,positive,apoptosis,50,159,0,,1.0,1.0
0,9,positive,epithelial_mesenchymal_transition,50,195,2,SFRP1;TGM2,0.03605769434394831,0.15791690953554005
