model,rmse_delta_mean,rmse_delta_ci95_low,rmse_delta_ci95_high,nrmse_delta_mean,nrmse_delta_ci95_low,nrmse_delta_ci95_high,pcc_delta_mean,pcc_delta_ci95_low,pcc_delta_ci95_high,spearman_delta_mean,spearman_delta_ci95_low,spearman_delta_ci95_high,signed_top50_overlap_mean,signed_top50_overlap_ci95_low,signed_top50_overlap_ci95_high,pcc_context_mean,pcc_context_ci95_low,pcc_context_ci95_high,rmse_gain_vs_b1_mean,rmse_gain_vs_b1_ci95_low,rmse_gain_vs_b1_ci95_high,nrmse_gain_vs_b1_mean,nrmse_gain_vs_b1_ci95_low,nrmse_gain_vs_b1_ci95_high,rmse_gain_vs_b4_mean,rmse_gain_vs_b4_ci95_low,rmse_gain_vs_b4_ci95_high,nrmse_gain_vs_b4_mean,nrmse_gain_vs_b4_ci95_low,nrmse_gain_vs_b4_ci95_high
B0,0.3558698943931686,0.3382239841165801,0.3749215920171002,1.0,1.0,1.0,,,,,,,0.0007446808510638,0.0002127659574468,0.0012792553191489,0.0476129853361132,0.0206103129176255,0.074936584897841,-0.0321202702076342,-0.0354407364760613,-0.028758550372469,-0.0920145647670374,-0.1013170170165169,-0.0825714958990026,,,,,,
B1,0.3237496241855342,0.3061027290392094,0.3420587001639867,0.9079854352329628,0.8985917680381736,0.9176536346955196,0.4200861744784883,0.3999489906216828,0.4390309964415037,0.3327027969402943,0.3184664337299828,0.3458862976072907,0.1808510638297872,0.1649973404255319,0.1965984042553191,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
B2,0.3506234860348117,0.3338602353640934,0.3693178505449456,0.991785462002346,0.9734608845170284,1.01141557802795,0.3455521141542086,0.3259865278217742,0.3654118174657059,0.2810597346230216,0.2668065804461826,0.2943253559211454,0.1725531914893617,0.1574441489361702,0.1879840425531915,0.0645969655117625,0.0519802473448655,0.0783665906686848,-0.0268738618492773,-0.0323372996403165,-0.0218587264624181,-0.0838000267693832,-0.1011698518352916,-0.0672472042347495,,,,,,
B3,0.429704790374438,0.410530439407157,0.4481163028074523,1.2300115553477664,1.1944546441937234,1.2694530602860674,0.2471642670157995,0.2301827660072408,0.2648490397633125,0.2212002671094756,0.2089927543456828,0.2328508393703034,0.1256382978723404,0.1139361702127659,0.1371276595744681,0.0585682890158723,0.0484378084629433,0.0696568162893655,-0.1059551661889036,-0.1154064922215456,-0.0973130178001349,-0.3220261201148038,-0.3582856058219991,-0.2862896535323267,,,,,,
B4,0.3220347668040167,0.3048523794999759,0.3391134613968948,0.9030905722264104,0.893203047835049,0.912694364970294,0.4280005057446583,0.4087336819794548,0.4488950365335816,0.3356710603621854,0.3212349015988277,0.3503574374167436,0.1956382978723403,0.1791462765957447,0.2114920212765957,0.1076663459139125,0.0962642750489837,0.1191453826436996,0.0017148573815175,0.0011676497257807,0.0022842732931624,0.004894863006552,0.003357354908717,0.0064169237074939,,,,,,
CCLR,0.32238303352471676,0.30545958137060614,0.3415904156247177,0.9042228745300002,0.8942325631986582,0.9137168099684043,0.4255012860680672,0.40649529916661564,0.44494005792121244,0.33469525704161035,0.3209780058752731,0.3485834270177892,0.19117021276595744,0.17563829787234045,0.20628457446808512,0.09652083882218145,0.08494832999520624,0.1090307330538829,0.0013665906608175576,0.0008227561682265964,0.0019328389507898848,0.003762560702962454,0.0021115881035476177,0.0052690808336030735,-0.0003482667207000465,-0.0005839714635708632,-0.00010519054112614201,-0.0011323023035896215,-0.0018760337939408198,-0.00032753740274459156
