model,metric,macro_mean,ci95_low,ci95_high,gain_vs_b1,gain_ci95_low,gain_ci95_high,n_cell_lines
NO_CHANGE,energy_distance,12.40735122234567,8.779061559137345,16.33242387715699,-5.189491533401595,-6.5792657512896024,-3.6835193027157294,17
NO_CHANGE,sliced_wasserstein,5.006938214649718,4.128402838431967,5.967540455916997,-1.2471432012044534,-1.5355605439456834,-0.8879214536653092,17
B1,energy_distance,7.217859688944073,4.952650175313504,9.734244739159271,0.0,0.0,0.0,17
B1,sliced_wasserstein,3.759795013445266,3.086344219353666,4.512023811612604,0.0,0.0,0.0,17
B4_FIXED_D20_A100,energy_distance,6.647262236833688,4.53774769321688,8.969071568528765,0.5705974521103855,0.2945769189172428,0.9048277614180618,17
B4_FIXED_D20_A100,sliced_wasserstein,3.596755404623123,2.9530525062784623,4.301090247636412,0.1630396088221422,0.08736082598411761,0.24581368243552515,17
CCLR_FIXED_D20_R20_A100,energy_distance,6.627799403300976,4.524854409422003,8.93586831694873,0.5900602856430969,0.3081036203473222,0.9201555148745951,17
CCLR_FIXED_D20_R20_A100,sliced_wasserstein,3.5928794186399386,2.954351492131289,4.295850701790293,0.16691559480532672,0.09208383672823213,0.25109371692869614,17
