model,rmse_delta_mean,rmse_delta_ci95_low,rmse_delta_ci95_high,nrmse_delta_mean,nrmse_delta_ci95_low,nrmse_delta_ci95_high,pcc_delta_mean,pcc_delta_ci95_low,pcc_delta_ci95_high,spearman_delta_mean,spearman_delta_ci95_low,spearman_delta_ci95_high,signed_top50_overlap_mean,signed_top50_overlap_ci95_low,signed_top50_overlap_ci95_high,pcc_context_mean,pcc_context_ci95_low,pcc_context_ci95_high,rmse_gain_vs_b1_mean,rmse_gain_vs_b1_ci95_low,rmse_gain_vs_b1_ci95_high,nrmse_gain_vs_b1_mean,nrmse_gain_vs_b1_ci95_low,nrmse_gain_vs_b1_ci95_high
B0,0.35586989439316863,0.3382239841165801,0.3749215920171002,1.0,1.0,1.0,,,,,,,0.0007446808510638298,0.0002127659574468085,0.001279255319148922,0.0476129853361132,0.020610312917625582,0.07493658489784101,-0.0321202702076342,-0.035440736476061316,-0.028758550372469095,-0.09201456476703745,-0.10131701701651699,-0.08257149589900262
B1,0.32374962418553427,0.3061027290392094,0.34205870016398676,0.9079854352329627,0.8985917680381736,0.9176536346955196,0.42008617447848834,0.3999489906216828,0.43903099644150373,0.3327027969402943,0.3184664337299828,0.3458862976072907,0.1808510638297872,0.16499734042553194,0.19659840425531913,,,,0.0,0.0,0.0,0.0,0.0,0.0
B2,0.3506234860348117,0.3338602353640934,0.36931785054494565,0.9917854620023459,0.9734608845170285,1.0114155780279501,0.34555211415420867,0.3259865278217742,0.36541181746570595,0.2810597346230216,0.2668065804461826,0.29432535592114545,0.17255319148936174,0.15744414893617023,0.1879840425531915,0.06459696551176251,0.051980247344865525,0.07836659066868482,-0.02687386184927737,-0.03233729964031651,-0.02185872646241812,-0.08380002676938321,-0.1011698518352916,-0.06724720423474959
B3,0.429704790374438,0.410530439407157,0.44811630280745235,1.2300115553477664,1.1944546441937234,1.2694530602860674,0.24716426701579955,0.23018276600724086,0.2648490397633125,0.22120026710947568,0.2089927543456828,0.23285083937030346,0.12563829787234046,0.11393617021276595,0.1371276595744681,0.058568289015872306,0.04843780846294339,0.06965681628936551,-0.1059551661889036,-0.11540649222154568,-0.09731301780013496,-0.32202612011480386,-0.35828560582199914,-0.28628965353232677
B4,0.3220347668040167,0.3048523794999759,0.3391134613968948,0.9030905722264105,0.893203047835049,0.9126943649702941,0.42800050574465837,0.40873368197945487,0.44889503653358165,0.3356710603621854,0.3212349015988277,0.3503574374167436,0.19563829787234038,0.1791462765957447,0.21149202127659575,0.10766634591391255,0.09626427504898377,0.11914538264369962,0.00171485738151758,0.0011676497257807157,0.002284273293162492,0.004894863006552079,0.003357354908717023,0.006416923707493976
