time_hours,cross_line_gene_sd_rms,mean_line_rmse_to_time_mean,ci95_low,ci95_high
3,0.34282477647314824,0.3263103026567211,0.2960744322302584,0.3581336218828317
6,0.3677609674526559,0.34694539268879354,0.3108090140520667,0.3872359550375426
12,0.36646066105765895,0.3495448229482775,0.31854622896374746,0.38144505351664704
24,0.3416596056691064,0.3275097721871632,0.30127240335616945,0.35393813757962
48,0.3419510175224386,0.32641348163802336,0.2969655806104471,0.3563477288283846
