cell_line,model,pc1_shift,pc2_shift,pc3_shift,pc4_shift,pc5_shift,pc6_shift,pc7_shift,pc8_shift,pc9_shift,pc10_shift
BICR31_UPPER_AERODIGESTIVE_TRACT,NO_CHANGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BICR31_UPPER_AERODIGESTIVE_TRACT,B1,-6.521274147133973,-2.596598398301048,2.7640277126619486,-3.2548846315903663,-0.6187244753385124,-0.45575336144161344,1.1628160919419395,0.037547348508037814,1.7943835909820227,1.6432304706312775
BICR31_UPPER_AERODIGESTIVE_TRACT,B4_FIXED_D20_A100,-7.034399355679231,-3.3492133060784686,2.8760048083329424,-3.3723697485695117,-0.8884413619496287,-0.7755121794935993,1.5069373333590326,0.18924457235907652,2.441929656182995,2.176290354899283
BICR31_UPPER_AERODIGESTIVE_TRACT,CCLR_FIXED_D20_R20_A100,-7.123284692683176,-3.3561554704875847,2.9083090021539313,-3.2464045097381007,-0.9045428927338385,-0.7648088956157063,1.4972467636788016,0.2027001767991787,2.552059823250769,2.248161682649271
BICR6_UPPER_AERODIGESTIVE_TRACT,NO_CHANGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BICR6_UPPER_AERODIGESTIVE_TRACT,B1,-6.521274147133973,-2.596598398301048,2.7640277126619486,-3.2548846315903663,-0.6187244753385124,-0.45575336144161344,1.1628160919419395,0.037547348508037814,1.7943835909820227,1.6432304706312775
BICR6_UPPER_AERODIGESTIVE_TRACT,B4_FIXED_D20_A100,-6.084738703824802,-3.0309975904897906,2.978953551794004,-3.1832249888662534,-1.1070997136756826,-0.7682033824566785,1.3563646740483684,0.19487887362344614,2.536424353619158,2.0955572744257194
BICR6_UPPER_AERODIGESTIVE_TRACT,CCLR_FIXED_D20_R20_A100,-6.079408588080426,-2.875629744814284,2.8948384869336556,-3.049030054852719,-0.9370124850134463,-0.8436925895325679,1.3772669108976374,0.22266672639896684,2.5405298358961894,2.0892394420776332
BT474_BREAST,NO_CHANGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT474_BREAST,B1,-6.521274147133973,-2.596598398301048,2.7640277126619486,-3.2548846315903663,-0.6187244753385124,-0.45575336144161344,1.1628160919419395,0.037547348508037814,1.7943835909820227,1.6432304706312775
BT474_BREAST,B4_FIXED_D20_A100,-6.0832358674827285,-2.352972241928412,1.9743264229942845,-2.859647703259943,-0.39137575645698636,-0.2577919484300697,1.0012778427633835,-0.0981303202024563,1.0397335926511844,1.5564037886248125
BT474_BREAST,CCLR_FIXED_D20_R20_A100,-6.21141564155608,-2.3303606030084256,2.042928223012104,-2.9605913817118443,-0.37067272551680974,-0.21549444058195466,1.0241672882500823,-0.2669569568746012,0.9270841610615774,1.228010125856735
BT549_BREAST,NO_CHANGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT549_BREAST,B1,-6.521274147133973,-2.596598398301048,2.7640277126619486,-3.2548846315903663,-0.6187244753385124,-0.45575336144161344,1.1628160919419395,0.037547348508037814,1.7943835909820227,1.6432304706312775
BT549_BREAST,B4_FIXED_D20_A100,-5.231100062665959,-1.8162219306616723,2.6360992358668573,-2.6002951902253804,-0.7104384237226913,-0.39513081892270274,1.0807301849560373,-0.2675284536632022,1.8832693669711773,1.3993388769854467
BT549_BREAST,CCLR_FIXED_D20_R20_A100,-5.207255690741558,-1.6779352527192941,2.4700774378883676,-2.5668760833302837,-0.6672039115823103,-0.4251131999719798,1.1184799932388367,-0.24988218139441837,1.7806245573754167,1.2736707544077015
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,NO_CHANGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,B1,-6.521274147133973,-2.596598398301048,2.7640277126619486,-3.2548846315903663,-0.6187244753385124,-0.45575336144161344,1.1628160919419395,0.037547348508037814,1.7943835909820227,1.6432304706312775
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,B4_FIXED_D20_A100,-5.910004016301863,-1.8793053262436077,2.982680540407829,-2.77521476937729,-0.6422281600532518,-0.316106863417295,1.2383972871388647,-0.2783473403687533,1.9216031338711546,1.2113244781554702
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,CCLR_FIXED_D20_R20_A100,-5.919321806379353,-2.0118147530286112,3.1113261228867732,-2.97187029465205,-0.630267280041223,-0.21734447527203848,1.2207745415058413,-0.40185219949700124,1.9084259420330403,1.142182426263772
DKMG_CENTRAL_NERVOUS_SYSTEM,NO_CHANGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKMG_CENTRAL_NERVOUS_SYSTEM,B1,-6.521274147133973,-2.596598398301048,2.7640277126619486,-3.2548846315903663,-0.6187244753385124,-0.45575336144161344,1.1628160919419395,0.037547348508037814,1.7943835909820227,1.6432304706312775
DKMG_CENTRAL_NERVOUS_SYSTEM,B4_FIXED_D20_A100,-6.198714181270759,-1.9960674615474616,3.3815854148383195,-2.946611410663916,-0.7085254049363685,-0.35121487683067376,1.129554803796289,-0.28294068658524657,2.2155908883221076,1.3114590681862828
DKMG_CENTRAL_NERVOUS_SYSTEM,CCLR_FIXED_D20_R20_A100,-6.233177218895509,-2.155235986157778,3.5060055685610894,-3.2549668435238197,-0.711154114844154,-0.24827298379036683,1.165987023723173,-0.3387581405427391,2.1388990723943264,1.19216743045817
IALM_LUNG,NO_CHANGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IALM_LUNG,B1,-6.521274147133973,-2.596598398301048,2.7640277126619486,-3.2548846315903663,-0.6187244753385124,-0.45575336144161344,1.1628160919419395,0.037547348508037814,1.7943835909820227,1.6432304706312775
IALM_LUNG,B4_FIXED_D20_A100,-6.49793306711772,-2.8452680817410285,3.7170661445564606,-3.7468204857277176,-0.8670492617700425,-0.5047867473741561,0.9815839404270016,0.052590780431570394,2.4003364658314927,1.796266729246858
IALM_LUNG,CCLR_FIXED_D20_R20_A100,-6.492314469340338,-2.6887187529087595,3.585659685818108,-3.7009173302591787,-0.7527738070214008,-0.5658238464055452,1.0356766507187982,0.13240286892031322,2.289775092451068,1.6861198563405988
LS1034_LARGE_INTESTINE,NO_CHANGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LS1034_LARGE_INTESTINE,B1,-6.521274147133973,-2.596598398301048,2.7640277126619486,-3.2548846315903663,-0.6187244753385124,-0.45575336144161344,1.1628160919419395,0.037547348508037814,1.7943835909820227,1.6432304706312775
LS1034_LARGE_INTESTINE,B4_FIXED_D20_A100,-7.881535132461668,-3.299584402076548,3.467953558351754,-3.9621087904487453,-0.37113475413650476,-0.7085157594300653,1.2004360162472938,0.5069821702705607,2.0132876776852777,1.851572119623536
LS1034_LARGE_INTESTINE,CCLR_FIXED_D20_R20_A100,-8.01584638165987,-3.6527867326214594,3.5824739908287615,-4.153712697994819,-0.24752543104946254,-0.5163557605730802,1.1305647785718107,0.5119505691500887,1.9393584624656381,1.9086986206385859
NCIH226_LUNG,NO_CHANGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCIH226_LUNG,B1,-6.521274147133973,-2.596598398301048,2.7640277126619486,-3.2548846315903663,-0.6187244753385124,-0.45575336144161344,1.1628160919419395,0.037547348508037814,1.7943835909820227,1.6432304706312775
