cell_line,depmap_id,disease,condition,time_hours,n_cells,library_size,source_tag,eligible_t10,eligible_t20,eligible_t30
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,control,3,37,784513,DMSO_3hr,True,True,True
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,control,6,31,664587,DMSO_6hr,True,True,True
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,control,12,32,730192,DMSO_12hr,True,True,True
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,control,24,44,1002864,DMSO_24hr,True,True,True
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,control,48,78,1765483,DMSO_48hr,True,True,True
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,trametinib,3,31,608979,Tram_3hr,True,True,True
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,trametinib,6,40,933234,Tram_6hr,True,True,True
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,trametinib,12,32,706935,Tram_12hr,True,True,True
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,trametinib,24,79,1588247,Tram_24hr,True,True,True
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,trametinib,48,80,1823566,Tram_48hr,True,True,True
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,untreated,48,42,921144,Untreated_48hr,True,True,True
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,control,3,118,3789034,DMSO_3hr,True,True,True
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,control,6,94,3228579,DMSO_6hr,True,True,True
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,control,12,124,4121300,DMSO_12hr,True,True,True
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,control,24,130,3949536,DMSO_24hr,True,True,True
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,control,48,204,6629728,DMSO_48hr,True,True,True
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,trametinib,3,105,3285908,Tram_3hr,True,True,True
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,trametinib,6,135,4525642,Tram_6hr,True,True,True
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,trametinib,12,118,3794803,Tram_12hr,True,True,True
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,trametinib,24,212,6020060,Tram_24hr,True,True,True
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,trametinib,48,210,6712872,Tram_48hr,True,True,True
