time_hours,model,metric,macro_mean,ci95_low,ci95_high,n_cell_lines
3,B1,rmse_delta,0.3727210045085293,0.33991659570650773,0.4060408536207008,17
3,B1,pcc_delta,0.07928729470709889,0.06047968049122068,0.10017136787022496,17
3,B1,spearman_delta,0.03702129627684564,0.017735529354988917,0.057644696806302555,17
3,B1,rmse_gain_vs_b1,0.0,0.0,0.0,17
3,B4_FIXED_D20_A100,rmse_delta,0.38003066283203946,0.3480262170889737,0.4109656937854009,17
3,B4_FIXED_D20_A100,pcc_delta,0.08348115105561468,0.06357529042816053,0.10520592938682838,17
3,B4_FIXED_D20_A100,spearman_delta,0.04005613785967544,0.020658589371146317,0.059303392128151534,17
3,B4_FIXED_D20_A100,rmse_gain_vs_b1,-0.007309658323510199,-0.010007174655450887,-0.004819770933136353,17
3,CCLR_FIXED_D20_R20_A100,rmse_delta,0.37918338903006993,0.3477783310369776,0.4093444947856664,17
3,CCLR_FIXED_D20_R20_A100,pcc_delta,0.08099129240930063,0.060010756163996426,0.10360429865763633,17
3,CCLR_FIXED_D20_R20_A100,spearman_delta,0.0384497206525391,0.01859360511608054,0.0579405349978539,17
3,CCLR_FIXED_D20_R20_A100,rmse_gain_vs_b1,-0.006462384521540641,-0.009500389741856779,-0.003844894929790229,17
6,B1,rmse_delta,0.3941924489498352,0.3532453021488654,0.4387505708337321,17
6,B1,pcc_delta,0.14639282048271784,0.1145440251841637,0.1781174317011891,17
6,B1,spearman_delta,0.10699564395558184,0.0807433365270386,0.1339020518175452,17
6,B1,rmse_gain_vs_b1,0.0,0.0,0.0,17
6,B4_FIXED_D20_A100,rmse_delta,0.39890439535665806,0.3605101695384302,0.4420559524570867,17
6,B4_FIXED_D20_A100,pcc_delta,0.15421314363684752,0.11681182523897805,0.19148548183925237,17
6,B4_FIXED_D20_A100,spearman_delta,0.10923637621689698,0.07951047430517336,0.139062778421399,17
6,B4_FIXED_D20_A100,rmse_gain_vs_b1,-0.0047119464068229215,-0.007076686444411859,-0.0023987986204021933,17
6,CCLR_FIXED_D20_R20_A100,rmse_delta,0.39822437358529594,0.3589395352142298,0.4444183514056083,17
6,CCLR_FIXED_D20_R20_A100,pcc_delta,0.15229817993062228,0.1162696465298222,0.18930385806795083,17
6,CCLR_FIXED_D20_R20_A100,spearman_delta,0.10909874303132869,0.07951266136229794,0.13779854720471812,17
