cell_line,outer_fold,component,observed_score,predicted_score,explained_variance_ratio,observed_test_response_used_for_fit
8505C_THYROID,0,1,-0.864350567826035,-2.8133055555284106,0.05553688946113453,False
8505C_THYROID,0,2,0.7618708240423423,-0.009351387942718337,0.03903005911200724,False
8505C_THYROID,0,3,0.9562183964945032,2.2611421129931917,0.03578663602466285,False
8505C_THYROID,0,4,-5.776288930220613,-0.6844063892771568,0.03214305828721827,False
8505C_THYROID,0,5,-1.5328475582585568,-1.6005505673424023,0.02958947463965877,False
8505C_THYROID,0,6,-0.45222541757171797,-1.0773077753608276,0.02933470580615556,False
8505C_THYROID,0,7,2.026409442668102,2.7595955322853256,0.023540764245296095,False
8505C_THYROID,0,8,0.6019134312095544,-0.5119542774582782,0.02278223756126588,False
8505C_THYROID,0,9,1.6018925720876094,0.7543429506171554,0.022171650152042307,False
8505C_THYROID,0,10,2.751012930890128,2.3990622197036626,0.021498362504201927,False
8505C_THYROID,0,11,-0.8080511240740393,0.3863228477537366,0.021005602085431934,False
8505C_THYROID,0,12,2.6836162652172475,1.576711357258268,0.020861858260621872,False
8505C_THYROID,0,13,-1.3087741494324554,-0.8385019352204879,0.020018410335138008,False
8505C_THYROID,0,14,-0.04759926820091054,0.03977887664641829,0.019644318307884757,False
8505C_THYROID,0,15,0.7925948118693714,0.6586799329278008,0.019137768275404216,False
8505C_THYROID,0,16,-0.8107409064536457,-0.10958028003279478,0.01840862265956599,False
8505C_THYROID,0,17,0.06863099858747296,0.7135398180477686,0.016926046455329198,False
8505C_THYROID,0,18,-3.3352466307493485,-1.8907025056433113,0.016361539588049298,False
8505C_THYROID,0,19,-0.6483017882795447,-0.9001734480876159,0.01607243223060492,False
8505C_THYROID,0,20,-0.45358793131425856,-0.004606419385492807,0.015388815828567983,False
A2780_OVARY,0,1,0.7054684370249973,2.9397971076014104,0.05553688946113453,False
A2780_OVARY,0,2,0.4991284279087448,-0.6466464927210548,0.03903005911200724,False
A2780_OVARY,0,3,1.0291717280460988,-1.0076253041907441,0.03578663602466285,False
A2780_OVARY,0,4,-2.4205944287910075,2.928269592229449,0.03214305828721827,False
A2780_OVARY,0,5,1.5385466505743517,-0.08945411167768852,0.02958947463965877,False
A2780_OVARY,0,6,-0.18255824502438056,-0.48982280124135513,0.02933470580615556,False
A2780_OVARY,0,7,-3.29045490956816,-0.7114927826519214,0.023540764245296095,False
A2780_OVARY,0,8,0.988022012239454,0.32721549535490496,0.02278223756126588,False
A2780_OVARY,0,9,-0.4394049787065428,-1.1961514409585658,0.022171650152042307,False
A2780_OVARY,0,10,1.323281586211808,1.1463615240964666,0.021498362504201927,False
A2780_OVARY,0,11,-2.464333706593039,-0.7807582836396638,0.021005602085431934,False
A2780_OVARY,0,12,-2.577914535598432,-0.8980436208803616,0.020861858260621872,False
A2780_OVARY,0,13,-0.8558224983689875,-1.3016330181960858,0.020018410335138008,False
A2780_OVARY,0,14,1.0715743792015267,-1.5201738102736693,0.019644318307884757,False
A2780_OVARY,0,15,-1.1643683386482,0.61240914732177,0.019137768275404216,False
A2780_OVARY,0,16,-1.34330650532525,-0.6524865169754119,0.01840862265956599,False
