cell_line,depmap_id,disease,time_hours,response_pc1,response_pc2,response_pc3,response_pc4,response_pc5
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,3,9.101929582024285,1.081219270292353,1.2775353153912168,0.8834692731448169,0.33030442465462057
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,6,3.1613742667874907,4.0787057526615635,0.6093277335160063,19.79844727409763,6.074973009631346
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,12,-1.9758130005889754,3.170527273080384,-0.7562782385620395,17.98492638767256,5.571434967716119
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,24,-18.301869944088132,4.618943348327241,-6.138465889342564,19.667348774113275,12.222871649694742
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,48,-34.08260056652658,3.747284063489695,-7.37587706235123,21.86375320582067,17.3418321863281
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,3,13.874822082460435,0.4518869735654283,1.097703342675755,1.9721615917262474,-2.471579406395938
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,6,8.342546009331855,0.37649976732018736,0.26614916347350076,4.815231464331987,-4.016389349760386
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,12,3.691641913237807,-0.1861436481338081,0.5275872862294042,6.202071038945833,-0.4104923515456438
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,24,-10.280000480726022,1.3188376560954056,-1.9395115177380406,2.197074975965964,0.7263108177700196
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,48,-23.427715475529233,1.2184351090524037,-4.871375411266201,5.23228488131641,3.816104896476485
BT474_BREAST,ACH-000927,breast cancer,3,6.265382656784547,-0.36687371118104256,1.0228392778191533,-3.9615678875954443,3.5829617463310823
BT474_BREAST,ACH-000927,breast cancer,6,3.6901891509616283,0.6792766533076634,3.748335860391837,-1.6888225361477773,3.720784726554783
BT474_BREAST,ACH-000927,breast cancer,12,11.074854573985721,0.6903838756261096,8.545487951541357,4.300622758725531,7.3181737894451215
BT474_BREAST,ACH-000927,breast cancer,24,2.4939951619953535,0.39651318109752953,4.084059648038505,-1.2282396019130868,6.4384288328093575
BT474_BREAST,ACH-000927,breast cancer,48,-10.554315701576808,-0.21964912253950733,1.7752478742448032,-3.5147679400094707,5.958874236056803
BT549_BREAST,ACH-000288,breast cancer,3,13.067194071942618,-2.9235155547686933,-0.6485349235694253,-4.2333851872723125,-0.8982626413384561
BT549_BREAST,ACH-000288,breast cancer,6,8.075690747340689,3.6005160625087416,1.1091640205792952,-1.3115344726924874,3.0518158340124493
BT549_BREAST,ACH-000288,breast cancer,12,4.851598565358323,2.740085790232873,-3.0210641715551763,-7.377093246038812,1.2337155352734996
BT549_BREAST,ACH-000288,breast cancer,24,5.910640191260899,2.691701435424317,-3.231361062581256,-2.970689017348109,2.3117480138153446
BT549_BREAST,ACH-000288,breast cancer,48,2.8099780086232067,3.659803782152234,-1.968837990736741,-1.12166314603775,1.4934141982626012
CAOV3_OVARY,ACH-000713,ovarian cancer,3,10.882654559847321,1.9198116468643276,1.261404219375883,-0.7648935946286893,-0.6687007546157145
CAOV3_OVARY,ACH-000713,ovarian cancer,6,11.32073565709803,0.896059530953241,1.7009170822971789,0.7958456640274119,1.0194649121380466
CAOV3_OVARY,ACH-000713,ovarian cancer,12,6.911859581584904,2.6477051779450576,1.210749977455843,5.289521178734341,-1.2907765828766469
CAOV3_OVARY,ACH-000713,ovarian cancer,24,4.773330369266545,0.13585369643682665,-0.5659552510911854,2.5754013846016797,-0.38718691159156793
CAOV3_OVARY,ACH-000713,ovarian cancer,48,2.8679279432158125,2.501571253417182,-0.5402882113202474,4.440113768164004,0.7158469003593277
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,3,11.19335794465025,3.8417321841560303,2.4023481318647213,-5.9957649618018865,-0.27293398470784463
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,6,8.250049966742148,2.8095099406330175,0.3388133934784588,-1.633177398210532,3.053474880561944
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,12,5.031899258301832,4.187024634273702,-3.576718289615592,-5.493305925615245,-1.3598435047729374
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,24,9.090158506207727,3.285062407726121,-0.11105383870156006,-1.9857931274218328,0.7822417176547685
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,48,4.934234478244627,4.018512176995575,-2.35682897175586,-2.4825499560633735,2.505664248897757
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,3,11.568851224563417,-0.6993757184911426,2.086656864499212,-0.22691507153409388,-0.470295175074725
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,6,7.443192637214345,0.18295561254506829,2.7072430052473946,1.4083816990716862,1.0088358716600994
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,12,4.69187984210885,-0.05896532510540263,1.9239138718650872,2.343878318959263,-0.874001707725837
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,24,-1.3767671968995236,1.1645283137444742,-0.16706903926364558,3.841596997158481,0.9807592546045447
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,48,-4.281970723439057,2.193303305859626,-0.2953467768980956,5.564436399667603,2.752326954155062
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,3,14.418936156896324,1.693081423966457,-0.8956005598634909,0.5673654892060455,-4.6764956059462515
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,6,15.231207432052376,2.468901298429276,-3.3527647275817327,6.573007657213455,-9.544239097019764
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,12,-8.379349367173202,2.2642679971877477,-13.174310878433515,-5.290487773474796,-10.703763766480696
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,24,-24.172298122389822,1.1591262720679518,-12.888188803798187,-14.76280457057075,-4.094174079393818
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,48,-23.3790639345637,0.9020754488869326,-10.314864967000387,-16.74019329222411,-0.1912593267003114
IALM_LUNG,ACH-000672,lung cancer,3,4.29398278226156,4.474953686238599,1.8426828834951985,-3.421356685501505,8.428731031345633
IALM_LUNG,ACH-000672,lung cancer,6,18.301850891712455,-71.09862346076476,-27.561397741846655,4.652090948438442,12.37570392542375
IALM_LUNG,ACH-000672,lung cancer,12,7.984537484870583,0.9313334766186875,-3.0216729533410662,-3.7025250776119316,-1.9750556457412585
IALM_LUNG,ACH-000672,lung cancer,24,-10.808767309605779,-0.29190549468911997,-8.499639963043705,-2.4966185919038377,-3.30849144055946
IALM_LUNG,ACH-000672,lung cancer,48,-16.520331450893234,5.321336872905151,-8.122129452760824,4.273954226265915,1.2772566311148095
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,3,14.477166638078023,-0.8900543545608347,9.605178804018747,-14.284843772619649,14.16554025002902
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,6,17.048658787411345,2.160927957535685,4.9415331180227815,-4.5525688724097995,10.702454685654011
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,12,11.251939457238281,2.67007895149971,7.469674699109788,-1.4935187818272797,9.291682467330908
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,24,10.810543632898769,2.8040967883687777,5.921723989102498,-2.173330292002809,7.640367039435464
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,48,12.656572259914498,1.420300294264754,4.183503858666072,-2.4187103107861256,3.533807898923641
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,3,8.33102077706416,-6.047042115630467,14.45175715865409,1.5581293131637128,-8.615523283991553
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,6,-2.929347632578198,-9.419167276978508,18.869118705637522,8.280101812190855,-13.45618984727911
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,12,-16.46563408691106,-16.240379176309318,29.974956416006794,8.588639240895464,-26.755565132406343
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,24,-34.6075158721465,-13.679649640091014,19.905702990639632,-0.2495621593952525,-6.850699165843426
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,48,-36.49278145313335,-14.84980662343249,29.61234248141135,-12.263594447342893,-3.276958360496936
NCIH226_LUNG,ACH-000367,lung cancer,3,11.663725950288296,0.06111623724771828,2.0703066619130803,-4.608181882556182,1.5735584673613492
NCIH226_LUNG,ACH-000367,lung cancer,6,10.024864842640008,1.0747658035322434,0.28676769783282735,-4.771891479369137,0.2844596116038682
NCIH226_LUNG,ACH-000367,lung cancer,12,9.430697591022929,2.5646435318058978,0.24047010198135527,-0.03447232895477091,1.3717748084912715
NCIH226_LUNG,ACH-000367,lung cancer,24,-1.1017763529586808,2.1969093672664823,-2.5278058780362076,0.3004847794029981,4.120056207894616
NCIH226_LUNG,ACH-000367,lung cancer,48,-0.04032853166209898,2.4431553038861775,-1.0310353661512266,1.1885662986814827,3.9265130103337027
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,3,6.513091701581273,1.0163395864693783,0.9052641074390191,-3.6968526116345233,1.0211944050644055
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,6,2.987877036251627,1.503753652233043,-0.827654812449156,-4.364960873148957,0.03671084529396064
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,12,4.34212441934271,1.8613025603127085,0.05727229663750551,-0.5900891110217008,0.18428511292802585
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,24,-13.330810082990995,1.8073704026734085,-3.583429947132184,-2.742263580919217,1.8436621799931483
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,48,-12.684684894275641,3.739077333306496,-1.5281599834170327,1.197258803324844,3.3881240149923695
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,3,6.804700739804561,-2.1083450446271854,6.008487576491053,2.1113618759143575,-0.1360110012393673
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,6,2.787644432198705,-2.4591080710842084,7.251061662723187,4.8392269601130575,-0.7110316472525618
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,12,-5.226473506825327,-4.429287759871927,9.31942240467176,6.6182107932858,0.865592343518707
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,24,-24.989943541537205,-4.25195412142678,8.761370695738599,1.8977887318348983,6.322476235730705
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,48,-32.16016273625352,-5.421667560105525,8.349975522109805,0.2814946389633602,9.417202018166584
RERFLCAD1_LUNG,ACH-000791,lung cancer,3,9.817641785292397,1.7535622118801577,-5.695321539137474,4.022002304087369,-9.49422421210235
RERFLCAD1_LUNG,ACH-000791,lung cancer,6,5.5746335721431635,2.4681439322905563,-10.94267744921393,7.286914832146205,-18.12047264299688
RERFLCAD1_LUNG,ACH-000791,lung cancer,12,-1.324304590606948,0.18705184404498976,-11.955235507519273,8.018813853198381,-20.505183160257506
RERFLCAD1_LUNG,ACH-000791,lung cancer,24,-10.831882271061158,1.9725121947222979,-13.076752789881805,6.156827701743784,-17.143408354152566
RERFLCAD1_LUNG,ACH-000791,lung cancer,48,-14.418552115446772,6.05477794879405,-11.260077443131454,7.435200420015521,-10.999286699471774
SH10TC_STOMACH,ACH-000764,gastric cancer,3,10.674442473584664,1.2775120543150695,1.663749453987046,-1.964774182027203,-0.3740913808605264
SH10TC_STOMACH,ACH-000764,gastric cancer,6,9.100582267346986,1.7526830781376637,0.38466140776880425,0.24508138663815007,-2.2315650482224365
SH10TC_STOMACH,ACH-000764,gastric cancer,12,7.531043256459336,1.5201114300401068,-0.3990077538061791,0.8798724635688238,-2.494014724016776
SH10TC_STOMACH,ACH-000764,gastric cancer,24,1.721302140990864,2.534928023054078,-2.355985889136288,1.2440429503489816,-2.5935150567936542
SH10TC_STOMACH,ACH-000764,gastric cancer,48,-0.3801711091865067,4.002390692424389,-3.9675949274506035,2.9478469129128975,-1.3185048924076341
SKMEL2_SKIN,ACH-001190,skin cancer,3,6.250295856992314,0.0157831623889027,-1.2202114780658202,-2.0770342281390155,-1.8966060245954939
SKMEL2_SKIN,ACH-001190,skin cancer,6,6.562316474077722,0.41377918371079764,-4.8384504898893805,-3.7029325854538664,-7.455440789868963
SKMEL2_SKIN,ACH-001190,skin cancer,12,2.3503499791983233,-0.37073100312947005,-6.62037295786231,-0.3772570685564292,-10.993442609999857
SKMEL2_SKIN,ACH-001190,skin cancer,24,-9.663928086119236,0.41949742005411633,-10.835101642040705,-2.1589623227084966,-11.265719834989433
SKMEL2_SKIN,ACH-001190,skin cancer,48,-14.57082964030445,0.5984443114725084,-15.728559399577007,-7.223408122216816,-10.71312085966759
SKMEL3_SKIN,ACH-000423,skin cancer,3,10.693917062032597,-0.7068253781929927,2.083551207671021,-5.510669803206458,1.702330405749317
SKMEL3_SKIN,ACH-000423,skin cancer,6,7.289392172489557,-0.2100665232920888,2.2624095997994766,-2.9314044792732306,2.1549170597641356
SKMEL3_SKIN,ACH-000423,skin cancer,12,10.171081734807188,-0.0989798577964275,0.803794989342926,-2.2425057312557226,-0.4888974745132301
SKMEL3_SKIN,ACH-000423,skin cancer,24,-6.335934374632672,-0.43753656781831224,-2.167040014294023,-8.853389113814401,-1.4078170756609536
SKMEL3_SKIN,ACH-000423,skin cancer,48,-19.04764508883397,-2.4999065504376055,-3.8399937051232977,-17.835481346526677,4.100879316985943
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,3,10.939469929085941,-0.26516032776033854,3.243213124401692,-9.66399053906787,-7.246775705708552
