outer_fold,component,direction,gene_id,gene_symbol,loading
0,1,positive,ENSG00000065328,MCM10,0.05318345129489899
0,1,positive,ENSG00000139318,DUSP6,0.05321294814348221
0,1,positive,ENSG00000144354,CDCA7,0.05324186384677887
0,1,positive,ENSG00000093009,CDC45,0.053533803671598434
0,1,positive,ENSG00000167513,CDT1,0.054631464183330536
0,1,positive,ENSG00000094804,CDC6,0.054980967193841934
0,1,positive,ENSG00000189057,FAM111B,0.05605708807706833
0,1,positive,ENSG00000104738,MCM4,0.05617990717291832
0,1,positive,ENSG00000171848,RRM2,0.05740046873688698
0,1,positive,ENSG00000131153,GINS2,0.06225954368710518
0,1,positive,ENSG00000169607,CKAP2L,0.06332556158304214
0,1,positive,ENSG00000105011,ASF1B,0.06428404152393341
0,1,positive,ENSG00000131470,PSMC3IP,0.0665697529911995
0,2,negative,ENSG00000067798,NAV3,-0.04348691925406456
0,2,negative,ENSG00000178773,CPNE7,-0.043162357062101364
0,2,negative,ENSG00000171425,ZNF581,-0.041493140161037445
0,2,negative,ENSG00000173599,PC,-0.041305575519800186
0,2,negative,ENSG00000173950,XXYLT1,-0.03866692632436752
0,2,negative,ENSG00000179598,PLD6,-0.03864282742142677
0,2,negative,ENSG00000109321,AREG,-0.038640785962343216
0,2,negative,ENSG00000258181,RP11-493L12.4,-0.03863104060292244
0,2,negative,ENSG00000132361,CLUH,-0.0367177277803421
0,2,negative,ENSG00000169047,IRS1,-0.03629889711737633
0,2,negative,ENSG00000247844,CCAT1,-0.0362207405269146
0,2,negative,ENSG00000188783,PRELP,-0.036068882793188095
0,2,negative,ENSG00000115137,DNAJC27,-0.035681262612342834
0,2,negative,ENSG00000104081,BMF,-0.03553294390439987
0,2,negative,ENSG00000110427,KIAA1549L,-0.03548611328005791
0,2,negative,ENSG00000110171,TRIM3,-0.03546217828989029
0,2,negative,ENSG00000186615,KTN1-AS1,-0.03428887575864792
0,2,negative,ENSG00000072071,LPHN1,-0.034069281071424484
0,2,negative,ENSG00000067992,PDK3,-0.034025639295578
0,2,negative,ENSG00000197275,RAD54B,-0.03375764563679695
0,2,negative,ENSG00000170677,SOCS6,-0.03343856334686279
0,2,negative,ENSG00000162227,TAF6L,-0.03298100084066391
0,2,negative,ENSG00000149798,CDC42EP2,-0.03285425156354904
0,2,negative,ENSG00000108264,TADA2A,-0.03277408331632614
0,2,negative,ENSG00000246228,CASC8,-0.03272209316492081
0,2,negative,ENSG00000172986,GXYLT2,-0.0324891060590744
0,2,negative,ENSG00000115507,OTX1,-0.03213082626461983
