cell_line,depmap_id,author_ccle_id,lineage,lineage_subtype,trametinib_auc,trametinib_sensitivity,prism_auc,gdsc_auc,braf_mut,kras_mut,hras_mut,nras_mut,annotation_source,sensitivity_use,outer_fold,response_pc1,response_pc2,response_pc3,response_pc4,response_pc5,braf_or_kras_mut,response_rms,min_condition_cells,baseline_novelty,b4_rmse,cclr_rmse,b4_pcc_context,pathway__MAPK_KRAS_signaling,pathway__E2F_targets,pathway__G2M_checkpoint,pathway__apoptosis,pathway__epithelial_mesenchymal_transition,pathway__immediate_early_response
CAOV3_OVARY,ACH-000713,CAOV3_OVARY,ovary,ovary_adenocarcinoma,0.879057959879154,0.1209420401208459,0.822080944092519,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,2,4.763901,0.42448348,1.507354,-0.78829765,-1.6558129,False,0.32752392,35,3.0292489825902864,0.2949546627071419,0.295446056991156,0.035847653457992,-0.05960558,-0.20861475,-0.17671306,-0.08099202,-0.12114916,-1.6578985
CJM_SKIN,ACH-000458,CJM_SKIN,skin,melanoma,1.0465528487664546,-0.0465528487664546,1.10739217565127,,False,False,True,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,3,-15.2927685,9.143822,0.1418331,-0.65878975,-1.7018853,False,0.48506877,25,1.703762533282795,0.4350244314462668,0.4351820813528066,0.1306992231225585,-0.1207231,-0.68666583,-0.47695866,-0.16114484,-0.2702665,-2.4782455
COLO668_LUNG,ACH-000803,COLO668_LUNG,lung,lung_small,0.924542843542832,0.0754571564571678,0.912105620398494,0.955053,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,1,7.833417,-4.0610037,-3.78707,10.776203,5.903859,True,0.4336075,25,3.2031686167344935,0.4204593105344341,0.422160323252794,0.0844484171248439,-0.09973867,-0.14485711,-0.15364437,-0.19667998,-0.24531691,-1.8701484
COLO680N_OESOPHAGUS,ACH-000717,COLO680N_OESOPHAGUS,esophagus,esophagus_squamous,0.7676131639519772,0.2323868360480228,0.70160986673789,0.869733,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,2,3.484539,4.715038,2.3272374,-4.0870004,-1.543747,False,0.3106853,57,3.102334854053619,0.2738947422560263,0.2747859705042643,0.0923451468004831,0.003232943,-0.22075906,-0.13286187,-0.01401195,-0.044143345,-1.8607163
COV434_OVARY,ACH-000123,COV434_OVARY,ovary,ovary_adenocarcinoma,0.826943406907677,0.173056593092323,0.773865236359736,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,1,7.5306244,-4.8972325,-0.6337307,6.4610815,3.2395334,False,0.35401812,49,2.6768924783356156,0.3428568657257285,0.3440352620401002,0.1507321390077209,-0.10327196,-0.23682775,-0.20062228,-0.0699954,-0.09465862,-1.9142984
DMS273_LUNG,ACH-000749,DMS273_LUNG,lung,lung_small,1.0579514916580717,-0.0579514916580716,1.12571841283787,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,0,7.9559965,-3.0394678,-0.30689746,4.753009,0.8671445,False,0.22707784,124,2.880750159693126,0.2104159217881969,0.2091840227402575,0.2276741285778202,-0.052245896,-0.14315133,-0.11195856,-0.11415364,-0.14106762,-1.4040685
EFM192A_BREAST,ACH-000117,EFM192A_BREAST,breast,TPBC,0.9457194707881382,0.0542805292118617,0.99782953682142,0.954094,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,4,3.1142004,-1.637698,-2.5399158,6.140075,3.027125,False,0.3948541,34,3.14334148249092,0.3768474741260813,0.3761348079191605,0.0653735920059011,-0.07021632,-0.42741227,-0.35421512,-0.091860875,-0.04780672,-1.721142
G401_SOFT_TISSUE,ACH-000096,G401_SOFT_TISSUE,rhabdoid,,0.7254543200715405,0.2745456799284594,0.732031820270718,0.698728,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,2,3.729882,-3.0006125,-0.45809802,2.2494469,1.5258961,False,0.31880894,78,1.4719450302210115,0.2899243990730384,0.2909638583271528,0.1108873138214349,-0.03565149,-0.35361862,-0.31651297,0.008263148,-0.015142726,-0.9560287
GCIY_STOMACH,ACH-000047,GCIY_STOMACH,gastric,gastric_adenocarcinoma,0.4071512201213993,0.5928487798786006,0.535414887905799,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,1,4.1633024,-0.56896466,1.1724882,0.59160554,-0.20580938,False,0.24907172,106,2.8636697133803257,0.2090446630047457,0.2098116118433814,0.1338539937670658,-0.04499557,-0.18192004,-0.14804666,-0.070196964,-0.17440699,-2.0500894
GP2D_LARGE_INTESTINE,ACH-000982,GP2D_LARGE_INTESTINE,colorectal,colorectal_MSI,0.8963281117707331,0.1036718882292668,0.844997281649037,,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,1,7.290152,-0.5491421,0.7304957,1.8218613,1.1151426,True,0.2853266,105,1.7354726204383497,0.2630783059988048,0.2619433594228724,0.0741274208842622,-0.03763272,-0.16329397,-0.0997269,-0.062950425,-0.08327677,-0.9439448
HCC1143_BREAST,ACH-000374,HCC1143_BREAST,breast,TNBC,0.6030452958252157,0.3969547041747843,0.65173348159007,0.520594,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,2,4.352771,2.2599788,1.1306026,-4.6899533,-0.5611653,False,0.32728386,61,2.879124118386531,0.3010311205320891,0.301282993997939,0.0276592814993406,0.004618769,-0.22797395,-0.11374713,0.023237921,0.074421495,-1.8714118
HCC1195_LUNG,ACH-000868,HCC1195_LUNG,lung,lung_NSC,0.929764606529185,0.0702353934708149,0.885078774233005,,False,False,False,True,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,0,-2.3204055,1.581652,2.6675222,-6.751997,-2.365305,False,0.38125673,26,2.5003787673833204,0.3436236828532654,0.3431505757667041,0.0406066630020706,-0.057968523,-0.46413437,-0.34435287,0.004043897,0.04867667,-2.1493218
HCC1419_BREAST,ACH-000277,HCC1419_BREAST,breast,HER2Amp,0.8586619334072456,0.1413380665927543,0.759516525711613,0.958783,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,3,-5.3102818,-4.5054364,-3.414596,4.712918,6.713364,False,0.43947926,41,2.435019876453335,0.4161468511001427,0.4158927430044689,0.0399617000484707,-0.06501732,-0.7452917,-0.60625106,-0.096275225,-0.18633637,-2.192359
HEC1B_ENDOMETRIUM,ACH-000941,HEC1B_ENDOMETRIUM,uterus,uterus_endometrium,0.7584532069220943,0.2415467930779057,0.730238578042266,,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,4,6.1408625,-2.670361,-0.42527097,-0.095719874,-0.8165393,True,0.28821504,49,2.335848903063984,0.2599647184912965,0.2612264166906788,0.1355119051333974,-0.07007931,-0.19314837,-0.13160177,-0.11407369,-0.11540258,-1.7024702
HEP3B217_LIVER,ACH-000625,HEP3B217_LIVER,liver,,0.562572910237511,0.437427089762489,0.711257432162363,0.262575,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,3,5.7341614,-0.8133088,1.3847557,13.932368,14.723164,False,0.5175792,22,2.780543373485877,0.4965942467748857,0.4965864545018532,0.0498277588555507,-0.12657815,-0.31196648,-0.20499049,0.044945307,-0.02073436,-1.9461154
HS766T_PANCREAS,ACH-000178,HS766T_PANCREAS,pancreas,,0.4667885527171777,0.5332114472828223,0.435274504079283,0.674987,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,2,-38.411102,23.184298,-24.08837,9.072267,44.062637,True,0.62546647,27,3.1033510515168765,0.5685891724319463,0.568653150915434,0.0983922702707413,-0.18553281,-1.1088551,-1.0333651,-0.11406792,-0.20875108,-2.2536898
HS852T_SKIN,ACH-000274,HS852T_SKIN,skin,melanoma,0.5171792344221446,0.4828207655778553,0.598275704324973,,False,False,False,True,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,4,-20.624104,-7.5365252,-51.023663,13.925791,-37.984592,False,0.5980522,32,1.8100339976688546,0.561321243762972,0.5609529895748109,0.1045434317405041,-0.20964172,-0.6861538,-0.5478236,-0.25942585,-0.25750467,-1.7625674
HUCCT1_BILIARY_TRACT,ACH-000976,HUCCT1_BILIARY_TRACT,bile_duct,cholangiocarcinoma,0.3431027789752281,0.6568972210247719,0.513855974136225,0.150599,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,3,-15.743347,8.471209,1.6169482,-14.445444,0.19800709,True,0.43151587,40,2.8752163405693314,0.3586719344024285,0.3587259151334783,0.2062009216792368,-0.055166613,-0.9777296,-0.83918136,0.028679986,0.1799212,-2.5957816
IGR1_SKIN,ACH-000882,IGR1_SKIN,skin,melanoma,0.3654668639447316,0.6345331360552684,0.504160478827457,,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,2,-4.285906,-7.2012405,1.692283,-2.5720177,-2.6459417,True,0.3418663,106,2.273463837591795,0.2907365749200573,0.291126736722564,0.1981752073918896,-0.117865875,-0.53444374,-0.42018184,-0.11587969,-0.16507682,-1.585253
IGROV1_OVARY,ACH-000966,IGROV1_OVARY,ovary,ovary_adenocarcinoma,0.7735065233369045,0.2264934766630955,0.883399466045026,0.588915,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,4,4.7247405,-1.01429,0.14640863,0.07544203,0.86011404,False,0.24610113,140,2.3516411690502963,0.2134336500884943,0.2147034316932629,0.1527563761294176,-0.032087848,-0.28967386,-0.22641425,0.0025964298,-0.0032339932,-1.8945377
ISTMES1_PLEURA,ACH-000569,ISTMES1_PLEURA,mesothelioma,,0.984915884650176,0.015084115349824,0.904535513773284,0.984608,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,0,2.5566726,1.8364754,1.1200875,-2.2651052,-0.40527764,False,0.3479701,39,2.735958522088535,0.3102029294771918,0.311136521457952,0.0638135707984528,0.01327112,-0.3614658,-0.29124984,-0.048666846,-0.08591607,-1.3806256
J82_URINARY_TRACT,ACH-000396,J82_URINARY_TRACT,urinary_tract,,0.8661994641416302,0.1338005358583698,0.838931167268472,0.896301,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,0,5.540756,-0.79433876,-0.1487572,2.0390809,-0.027839124,False,0.24497867,98,2.726777060998548,0.2170049801337361,0.2199920434178697,0.0878382435051363,-0.1205332,-0.1317875,-0.10524628,-0.10209005,-0.088938355,-1.5274667
JHH5_LIVER,ACH-000734,JHH5_LIVER,liver,,0.4610416349468523,0.5389583650531476,0.563288883662079,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,4,-8.709218,2.811215,-1.352567,-1.3078495,4.1070027,False,0.41497517,45,2.522546365468871,0.3658729488094865,0.3705313097789515,0.0884837105290074,-0.060671683,-0.75087464,-0.5522166,-0.07486009,-0.029138597,-2.160637
KNS42_CENTRAL_NERVOUS_SYSTEM,ACH-000622,KNS42_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,0.9030079797226512,0.0969920202773488,0.8455858187693,0.963675,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,3,7.9568176,-1.2999554,-0.53827965,4.2402515,0.16739279,False,0.30019757,58,2.0839028294212714,0.2881008569488426,0.2878884702015285,0.0934898624687581,-0.022224486,-0.18043429,-0.11833336,-0.0607885,-0.06904822,-1.33062
KNS60_CENTRAL_NERVOUS_SYSTEM,ACH-000445,KNS60_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,0.9235358147835392,0.0764641852164607,0.874959299595516,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,4,7.0154977,-0.7049418,-0.46564785,-1.6850498,-0.007939425,False,0.29829937,37,2.835213499901573,0.2794372307595698,0.278573163274424,0.1024826558909264,-0.047633484,-0.1327181,-0.10212385,0.044301506,0.03589457,-1.5340348
KNS81_CENTRAL_NERVOUS_SYSTEM,ACH-000479,KNS81_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,0.7853249186040573,0.2146750813959427,0.745989147825496,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,0,-0.07815837,3.1001332,-0.50030863,-6.0862064,-0.7559801,False,0.38446578,54,2.313847026765152,0.3430973123922669,0.3427032437061139,0.0994303848037762,-0.07957836,-0.40705886,-0.2402979,-0.017113559,0.033077713,-2.4765513
KYSE270_OESOPHAGUS,ACH-000873,KYSE270_OESOPHAGUS,esophagus,esophagus_squamous,0.8473563605034711,0.1526436394965289,0.77137880661916,0.928071,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,3,4.6491213,2.2980173,1.0438384,-2.129908,-0.8278662,False,0.2881199,75,2.6916621359819928,0.2528909858287284,0.2524299410833184,0.0205503527120175,-0.045222566,-0.1666242,-0.1330801,0.0036845836,-0.012901466,-2.067299
LI7_LIVER,ACH-000471,LI7_LIVER,liver,,0.8192485885911402,0.1807514114088597,0.767359436093075,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,1,6.2192025,-1.7682207,-4.250289,5.267199,0.9500123,False,0.44097292,42,2.71609446567393,0.4273768467329996,0.4271393188199407,0.0295970105588522,-0.113399416,-0.11970469,-0.0980072,-0.06778159,0.04985081,-1.7790663
LK2_LUNG,ACH-000769,LK2_LUNG,lung,lung_NSC,0.8071008967718436,0.1928991032281564,,0.858249,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,3,7.6318564,-2.2372513,-0.7351306,4.667577,3.2589867,False,0.31925243,57,3.0611717535896013,0.3084774876703006,0.3085490621838895,0.08480348483608,-0.055205755,-0.21874934,-0.23031245,0.011089195,-0.049721815,-1.2679379
